#Gumbel
#Command used:	python transit.py
#FDR Corrected thresholds: 0.989800, 0.038400
#MH Acceptance-Rate:	45.72%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.280561
#Time: 143.290342808
#Orf	Name	Desc	k	n	r	s	zbar	Call
Rv0742	PE_PGRS8	PE-PGRS FAMILY PROTEIN 	3	5	2	69	0.000000	NE
Rv0743c	-	hypothetical protein Rv0743c 	7	8	1	2	0.000000	NE
Rv0744c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	4	9	3	186	0.000000	NE
Rv0745	-	hypothetical protein Rv0745 	6	7	1	2	0.000000	NE
Rv0746	PE_PGRS9	PE-PGRS FAMILY PROTEIN 	7	14	3	188	0.000000	NE
Rv0747	PE_PGRS10	PE-PGRS FAMILY PROTEIN 	8	12	2	329	0.027100	NE
Rv0748	-	hypothetical protein Rv0748 	2	2	0	0	-1.000000	S
Rv0749	-	hypothetical protein Rv0749 	3	3	0	0	0.000000	NE
Rv0749A	-	hypothetical protein Rv0749A 	1	1	0	0	-1.000000	S
Rv0750	-	hypothetical protein Rv0750 	0	1	1	2	-1.000000	S
Rv0751c	mmsB	PROBABLE 3-HYDROXYISOBUTYRATE DEHYDROGENASE MMSB (HIBADH) 	4	6	1	2	0.000000	NE
Rv0752c	fadE9	PROBABLE ACYL-CoA DEHYDROGENASE FADE9 	9	14	2	57	0.000000	NE
Rv0753c	mmsA	PROBABLE METHYLMALONATE-SEMIALDEHYDE DEHYDROGENASE MMSA (METHYLMALONIC ACID SEMIALDEHYDE DEHYDROGENASE) (MMSDH) 	14	18	1	2	0.000000	NE
Rv0754	PE_PGRS11	PE-PGRS FAMILY PROTEIN 	18	27	6	251	0.006400	NE
Rv0755A	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	4	5	1	2	-1.000000	S
Rv0755c	PPE12	PPE FAMILY PROTEIN 	11	50	18	434	1.000000	E
Rv0756c	-	hypothetical protein Rv0756c 	6	6	0	0	0.000000	NE
Rv0757	phoP	POSSIBLE TWO COMPONENT SYSTEM RESPONSE TRANSCRIPTIONAL POSITIVE REGULATOR PHOP 	1	10	7	219	0.010700	NE
Rv0758	phoR	POSSIBLE TWO COMPONENT SYSTEM RESPONSE SENSOR KINASE MEMBRANE ASSOCIATED PHOR 	10	16	2	17	0.000000	NE
Rv0759c	-	hypothetical protein Rv0759c 	0	2	2	110	-1.000000	S
Rv0760c	-	hypothetical protein Rv0760c 	4	5	1	2	0.000000	NE
Rv0761c	adhB	POSSIBLE ZINC-CONTAINING ALCOHOL DEHYDROGENASE NAD DEPENDENT ADHB 	8	12	2	71	0.000000	NE
Rv0762c	-	hypothetical protein Rv0762c 	10	12	1	2	0.000000	NE
Rv0763c	-	POSSIBLE FERREDOXIN 	1	1	0	0	-1.000000	S
Rv0764c	cyp51	CYTOCHROME P450 51 CYP51 (CYPL1) (P450-L1A1) (STEROL 14-ALPHA DEMETHYLASE) (LANOSTEROL 14-ALPHA DEMETHYLASE) (P450-14DM) 	11	16	3	377	0.085200	U
Rv0765c	-	short chain dehydrogenase 	5	9	1	2	0.000000	NE
Rv0766c	cyp123	PROBABLE CYTOCHROME P450 123 CYP123 	12	23	5	136	0.000000	NE
Rv0767c	-	hypothetical protein Rv0767c 	8	11	2	191	0.000000	NE
Rv0768	aldA	PROBABLE ALDEHYDE DEHYDROGENASE NAD DEPENDENT ALDA (ALDEHYDE DEHYDROGENASE 	10	22	4	184	0.000000	NE
Rv0769	-	short chain dehydrogenase 	11	16	3	75	0.000000	NE
Rv0770	-	PROBABLE DEHYDROGENASE/REDUCTASE 	6	7	1	2	0.000000	NE
Rv0771	-	POSSIBLE 4-CARBOXYMUCONOLACTONE DECARBOXYLASE (CMD) 	5	9	2	33	0.000000	NE
Rv0772	purD	phosphoribosylamine--glycine ligase 	0	20	20	1099	1.000000	E
Rv0773c	ggtA	PROBABLE BIFUNCTIONAL ACYLASE GGTA: CEPHALOSPORIN ACYLASE (GL-7ACA ACYLASE) + GAMMA-GLUTAMYLTRANSPEPTIDASE (GGT) 	11	19	3	137	0.000000	NE
Rv0774c	-	PROBABLE CONSERVED EXPORTED PROTEIN 	5	9	2	31	0.000000	NE
Rv0775	-	hypothetical protein Rv0775 	9	9	0	0	0.000000	NE
Rv0776c	-	hypothetical protein Rv0776c 	12	14	2	79	0.000000	NE
Rv0777	purB	adenylosuccinate lyase 	0	14	14	1028	1.000000	E
Rv0778	cyp126	POSSIBLE CYTOCHROME P450 126 CYP126 	11	17	2	51	0.000000	NE
Rv0779c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	3	6	3	212	0.000200	NE
Rv0780	hemH	phosphoribosylaminoimidazole-succinocarboxamide synthase 	0	23	23	785	1.000000	E
Rv0781	ptrBa	PROBABLE PROTEASE II PTRBA 	5	24	8	209	0.003900	NE
Rv0782	ptrBb	PROBABLE PROTEASE II PTRBB 	15	38	7	206	0.000100	NE
Rv0783c	emrB	POSSIBLE MULTIDRUG RESISTANCE INTEGRAL MEMBRANE EFFLUX PROTEIN EMRB 	10	23	6	340	0.544600	U
Rv0784	-	hypothetical protein Rv0784 	4	8	1	2	0.000000	NE
Rv0785	-	putative FAD-binding dehydrogenase 	16	30	3	76	0.000000	NE
Rv0786c	-	hypothetical protein Rv0786c 	5	11	3	33	0.000000	NE
Rv0787	-	hypothetical protein Rv0787 	13	14	1	2	0.000000	NE
Rv0787A	-	phosphoribosylformylglycinamidine synthase subunit PurS 	0	2	2	48	-1.000000	S
Rv0788	purQ	phosphoribosylformylglycinamidine synthase subunit I 	0	11	11	384	1.000000	E
Rv0789c	-	hypothetical protein Rv0789c 	6	7	1	2	0.000000	NE
Rv0790c	-	hypothetical protein Rv0790c 	13	20	2	32	0.000000	NE
Rv0791c	-	hypothetical protein Rv0791c 	9	12	1	2	0.000000	NE
Rv0792c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	12	17	2	21	0.000000	NE
Rv0793	-	hypothetical protein Rv0793 	6	8	1	2	0.000000	NE
Rv0794c	-	PROBABLE OXIDOREDUCTASE 	8	15	2	60	0.000000	NE
Rv0795	-	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT) 	0	0	0	0	-1.000000	S
Rv0796	-	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 	0	1	1	2	-1.000000	S
Rv0797	-	IS1547 transposase 	0	0	0	0	-1.000000	S
Rv0798c	cfp29	29 KDa ANTIGEN CFP29 	4	14	5	139	0.000000	NE
Rv0799c	-	hypothetical protein Rv0799c 	3	9	3	201	0.000000	NE
Rv0800	pepC	putative aminopeptidase 2 	10	13	1	2	0.000000	NE
Rv0801	-	hypothetical protein Rv0801 	0	0	0	0	-1.000000	S
Rv0802c	-	hypothetical protein Rv0802c 	7	15	5	55	0.000000	NE
Rv0803	purL	phosphoribosylformylglycinamidine synthase II 	0	32	32	1878	1.000000	E
Rv0804	-	hypothetical protein Rv0804 	4	6	1	2	0.000000	NE
Rv0805	-	hypothetical protein Rv0805 	10	15	2	129	0.000000	NE
Rv0806c	cpsY	POSSIBLE UDP-GLUCOSE-4-EPIMERASE CPSY (GALACTOWALDENASE) (UDP-GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE-4-EPIMERASE) 	31	41	2	39	0.000000	NE
Rv0807	-	hypothetical protein Rv0807 	1	2	1	2	-1.000000	S
Rv0808	purF	amidophosphoribosyltransferase 	0	25	25	1335	1.000000	E
Rv0809	purM	phosphoribosylaminoimidazole synthetase 	0	11	11	831	0.999300	E
Rv0810c	-	hypothetical protein Rv0810c 	0	4	4	95	-1.000000	S
Rv0811c	-	hypothetical protein Rv0811c 	0	15	15	731	1.000000	E
Rv0812	-	4-amino-4-deoxychorismate lyase 	0	15	15	562	1.000000	E
Rv0813c	-	hypothetical protein Rv0813c 	13	13	0	0	0.000000	NE
Rv0814c	sseC2	CONSERVED HYPOTHETICAL PROTEIN SSEC2 	0	0	0	0	-1.000000	S
Rv0815c	cysA2	PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA2 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE) 	3	4	1	2	0.000000	NE
Rv0816c	thiX	PROBABLE THIOREDOXIN THIX 	3	3	0	0	0.000000	NE
Rv0817c	-	PROBABLE CONSERVED EXPORTED PROTEIN 	0	14	14	670	1.000000	E
Rv0818	-	TRANSCRIPTIONAL REGULATORY PROTEIN 	7	8	1	2	0.000000	NE
Rv0819	-	hypothetical protein Rv0819 	0	10	10	790	0.999500	E
Rv0820	phoT	PROBABLE PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PHOT 	9	10	1	2	0.000000	NE
Rv0821c	phoY2	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOY2 	2	5	3	295	0.238800	U
Rv0822c	-	hypothetical protein Rv0822c 	22	27	2	17	0.000000	NE
Rv0823c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	17	3	130	0.000000	NE
Rv0824c	desA1	PROBABLE ACYL-	0	18	18	889	1.000000	E
Rv0825c	-	hypothetical protein Rv0825c 	8	10	1	2	0.000000	NE
Rv0826	-	hypothetical protein Rv0826 	15	18	1	2	0.000000	NE
Rv0827c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	3	3	0	0	0.000000	NE
Rv0828c	-	POSSIBLE DEAMINASE 	10	10	0	0	0.000000	NE
Rv0829	-	POSSIBLE TRANSPOSASE (FRAGMENT) 	1	1	0	0	-1.000000	S
Rv0830	-	hypothetical protein Rv0830 	15	18	2	32	0.000000	NE
Rv0831c	-	hypothetical protein Rv0831c 	15	18	1	2	0.000000	NE
Rv0832	PE_PGRS12	PE-PGRS FAMILY PROTEIN 	2	3	1	2	0.000000	NE
Rv0833	PE_PGRS13	PE-PGRS FAMILY PROTEIN 	3	11	4	110	0.000000	NE
Rv0834c	PE_PGRS14	PE-PGRS FAMILY PROTEIN 	18	24	2	257	0.000700	NE
Rv0835	lpqQ	POSSIBLE LIPOPROTEIN LPQQ 	11	14	2	13	0.000000	NE
Rv0836c	-	hypothetical protein Rv0836c 	7	8	1	2	0.000000	NE
Rv0837c	-	hypothetical protein Rv0837c 	18	22	1	2	0.000000	NE
Rv0838	lpqR	PROBABLE CONSERVED LIPOPROTEIN LPQR 	5	7	2	112	0.000000	NE
Rv0839	-	hypothetical protein Rv0839 	9	10	1	2	0.000000	NE
Rv0840c	pip	PROBABLE PROLINE IMINOPEPTIDASE PIP (PROLYL AMINOPEPTIDASE) (PAP) 	6	8	1	2	0.000000	NE
Rv0841	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	2	3	1	2	-1.000000	S
Rv0842	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	21	5	211	0.000100	NE
Rv0843	-	PROBABLE DEHYDROGENASE 	13	17	1	2	0.000000	NE
Rv0844c	narL	POSSIBLE NITRATE/NITRITE RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN NARL 	8	9	1	2	0.000000	NE
Rv0845	-	POSSIBLE TWO COMPONENT SENSOR KINASE 	15	23	5	64	0.000000	NE
Rv0846c	-	PROBABLE OXIDASE 	17	28	3	68	0.000000	NE
Rv0847	lpqS	PROBABLE LIPOPROTEIN LPQS 	4	6	1	2	0.000000	NE
Rv0848	cysK2	POSSIBLE CYSTEINE SYNTHASE A CYSK2 (O-ACETYLSERINE SULFHYDRYLASE) (O-ACETYLSERINE (THIOL)-LYASE) (CSASE) 	17	26	2	29	0.000000	NE
Rv0849	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	16	21	1	2	0.000000	NE
Rv0850	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	7	9	2	35	0.000000	NE
Rv0851c	-	short chain dehydrogenase 	8	9	1	2	0.000000	NE
Rv0852	fadD16	POSSIBLE FATTY-ACID-CoA LIGASE FADD16 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	8	13	3	59	0.000000	NE
Rv0853c	pdc	PROBABLE PYRUVATE OR INDOLE-3-PYRUVATE DECARBOXYLASE PDC 	12	23	3	31	0.000000	NE
Rv0854	-	hypothetical protein Rv0854 	5	6	1	2	0.000000	NE
Rv0855	far	PROBABLE FATTY-ACID-CoA RACEMASE FAR 	9	12	2	30	0.000000	NE
Rv0856	-	hypothetical protein Rv0856 	3	5	1	2	0.000000	NE
Rv0857	-	hypothetical protein Rv0857 	4	6	1	2	0.000000	NE
Rv0858c	-	aminotransferase 	14	19	1	2	0.000000	NE
Rv0859	fadA	acetyl-CoA acetyltransferase 	3	7	2	43	0.000000	NE
Rv0860	fadB	PROBABLE FATTY OXIDATION PROTEIN FADB 	5	21	7	577	0.859500	U
Rv0861c	ercc3	PROBABLE DNA HELICASE ERCC3 	12	22	5	466	0.343000	U
Rv0862c	-	hypothetical protein Rv0862c 	12	27	5	275	0.016000	NE
Rv0863	-	hypothetical protein Rv0863 	5	6	1	2	0.000000	NE
Rv0864	moaC	molybdenum cofactor biosynthesis protein C 	10	11	1	2	0.000000	NE
Rv0865	mog	PROBABLE MOLYBDOPTERIN BIOSYNTHESIS MOG PROTEIN 	5	8	2	23	0.000000	NE
Rv0866	moaE2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN E2 MOAE2 (MOLYBDOPTERIN CONVERTING FACTOR LARGE SUBUNIT) (MOLYBDOPTERIN 	3	3	0	0	0.000000	NE
Rv0867c	rpfA	POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA 	7	8	1	2	0.000000	NE
Rv0868c	moaD2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN D 2 MOAD2 (MOLYBDOPTERIN CONVERTING FACTOR SMALL SUBUNIT) (MOLYBDOPTERIN 	5	6	1	2	0.000000	NE
Rv0869c	moaA	molybdenum cofactor biosynthesis protein A 	11	14	1	2	0.000000	NE
Rv0870c	-	hypothetical protein Rv0870c 	4	4	0	0	0.000000	NE
Rv0871	cspB	PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB 	3	4	1	2	0.000000	NE
Rv0872c	PE_PGRS15	PE-PGRS FAMILY PROTEIN 	19	25	2	50	0.000000	NE
Rv0873	fadE10	PROBABLE ACYL-CoA DEHYDROGENASE FADE10 	25	33	2	227	0.000000	NE
Rv0874c	-	hypothetical protein Rv0874c 	6	9	2	30	0.000000	NE
Rv0875c	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	1	11	10	362	0.999900	E
Rv0876c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	12	24	6	176	0.000000	NE
Rv0877	-	hypothetical protein Rv0877 	12	15	1	2	0.000000	NE
Rv0878c	PPE13	PPE FAMILY PROTEIN 	15	15	0	0	0.000000	NE
Rv0879c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	2	3	1	2	0.000000	NE
Rv0880	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY) 	0	1	1	2	-1.000000	S
Rv0881	-	POSSIBLE RRNA METHYLTRANSFERASE (RRNA METHYLASE) 	10	14	1	2	0.000000	NE
Rv0882	-	PROBABLE TRANSMEMBRANE PROTEIN 	1	1	0	0	-1.000000	S
Rv0883c	-	hypothetical protein Rv0883c 	0	6	6	596	0.974700	U
Rv0884c	serC	phosphoserine aminotransferase 	0	12	12	800	0.999900	E
Rv0885	-	hypothetical protein Rv0885 	6	12	2	31	0.000000	NE
Rv0886	fprB	PROBABLE NADPH:ADRENODOXIN OXIDOREDUCTASE FPRB (ADRENODOXIN REDUCTASE) (AR) (FERREDOXIN-NADP(+) REDUCTASE) 	14	22	5	567	0.427000	U
Rv0887c	-	hypothetical protein Rv0887c 	3	4	1	2	0.000000	NE
Rv0888	-	PROBABLE EXPORTED PROTEIN 	19	26	4	143	0.000000	NE
Rv0889c	citA	citrate synthase 2 	9	10	1	2	0.000000	NE
Rv0890c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	36	44	2	9	0.000000	NE
Rv0891c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	19	23	2	69	0.000000	NE
Rv0892	-	PROBABLE MONOOXYGENASE 	14	37	4	76	0.000000	NE
Rv0893c	-	hypothetical protein Rv0893c 	6	21	11	423	0.998900	E
Rv0894	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY LUXR-FAMILY) 	9	14	3	101	0.000000	NE
Rv0895	-	hypothetical protein Rv0895 	21	26	1	2	0.000000	NE
Rv0896	gltA	type II citrate synthase 	0	23	23	954	1.000000	E
Rv0897c	-	PROBABLE OXIDOREDUCTASE 	10	18	3	236	0.000000	NE
Rv0898c	-	hypothetical protein Rv0898c 	0	0	0	0	-1.000000	S
Rv0899	ompA	OUTER MEMBRANE PROTEIN A OMPA 	6	18	6	444	0.818100	U
Rv0900	-	POSSIBLE MEMBRANE PROTEIN 	2	2	0	0	-1.000000	S
Rv0901	-	POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN 	6	9	2	11	0.000000	NE
Rv0902c	prrB	TWO COMPONENT SENSOR HISTIDINE KINASE PRRB 	0	12	12	890	0.999900	E
Rv0903c	prrA	TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN PRRA 	0	9	9	585	0.998800	E
Rv0904c	accD3	PUTATIVE ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE (SUBUNIT BETA) ACCD3 (ACCASE BETA CHAIN) 	14	19	2	159	0.000000	NE
Rv0905	echA6	enoyl-CoA hydratase 	5	8	2	41	0.000000	NE
Rv0906	-	hypothetical protein Rv0906 	8	14	4	280	0.037500	NE
Rv0907	-	hypothetical protein Rv0907 	12	33	8	293	0.738400	U
Rv0908	ctpE	PROBABLE METAL CATION TRANSPORTER ATPASE P-TYPE CTPE 	21	29	2	58	0.000000	NE
Rv0909	-	hypothetical protein Rv0909 	2	2	0	0	-1.000000	S
Rv0910	-	hypothetical protein Rv0910 	5	7	2	52	0.000000	NE
Rv0911	-	hypothetical protein Rv0911 	8	12	2	142	0.000000	NE
Rv0912	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	4	1	2	-1.000000	S
Rv0913c	-	POSSIBLE DIOXYGENASE 	11	38	11	369	0.996200	E
Rv0914c	-	acetyl-CoA acetyltransferase 	14	15	1	2	0.000000	NE
Rv0915c	PPE14	PPE FAMILY PROTEIN 	10	15	2	20	0.000000	NE
Rv0916c	PE7	PE FAMILY PROTEIN 	3	5	1	2	0.000000	NE
Rv0917	betP	POSSIBLE GLYCINE BETAINE TRANSPORT INTEGRAL MEMBRANE PROTEIN BETP 	25	40	3	88	0.000000	NE
Rv0918	-	hypothetical protein Rv0918 	7	8	1	2	0.000000	NE
Rv0919	-	hypothetical protein Rv0919 	7	8	1	2	0.000000	NE
Rv0920c	-	PROBABLE TRANSPOSASE 	16	21	1	2	0.000000	NE
Rv0921	-	POSSIBLE RESOLVASE 	5	7	1	2	0.000000	NE
Rv0922	-	POSSIBLE TRANSPOSASE 	13	16	1	2	0.000000	NE
Rv0923c	-	hypothetical protein Rv0923c 	11	16	2	9	0.000000	NE
Rv0924c	mntH	manganese transport protein MntH 	13	17	2	64	0.000000	NE
Rv0925c	-	hypothetical protein Rv0925c 	11	15	1	2	0.000000	NE
Rv0926c	-	hypothetical protein Rv0926c 	11	18	2	47	0.000000	NE
Rv0927c	-	short chain dehydrogenase 	4	5	1	2	0.000000	NE
Rv0928	pstS3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS3 (PBP-3) (PSTS3) (PHOS1) 	13	21	5	335	0.402500	U
Rv0929	pstC2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC2 	7	16	3	80	0.000000	NE
Rv0930	pstA1	PROBABLE PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA1 	11	15	2	10	0.000000	NE
Rv0931c	pknD	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKND (PROTEIN KINASE D) (STPK D) 	35	40	1	2	0.000000	NE
Rv0932c	pstS2	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS2 (PBP-2) (PSTS2) 	19	23	3	30	0.000000	NE
Rv0933	pstB	PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PSTB 	7	12	4	205	0.000000	NE
Rv0934	pstS1	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS1 (PBP-1) (PSTS1) 	16	19	1	2	0.000000	NE
Rv0935	pstC1	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC1 	11	12	1	2	0.000000	NE
Rv0936	pstA2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA2 	15	19	2	7	0.000000	NE
Rv0937c	-	hypothetical protein Rv0937c 	5	12	4	305	0.313600	U
Rv0938	-	ATP-dependent DNA ligase 	9	38	14	478	0.999700	E
Rv0939	-	POSSIBLE BIFUNCTIONAL ENZYME: 2-HYDROXYHEPTA-2,4-DIENE-1,7-DIOATE ISOMERASE (HHDD ISOMERASE) + CYCLASE/DEHYDRASE 	14	27	4	158	0.000000	NE
Rv0940c	-	POSSIBLE OXIDOREDUCTASE 	7	13	4	95	0.000000	NE
Rv0941c	-	hypothetical protein Rv0941c 	7	8	1	2	0.000000	NE
Rv0942	-	hypothetical protein Rv0942 	6	7	1	2	0.000000	NE
Rv0943c	-	PROBABLE MONOOXYGENASE 	14	16	1	2	0.000000	NE
Rv0944	-	POSSIBLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE (FAPY-DNA GLYCOSYLASE) 	4	7	2	64	0.000000	NE
Rv0945	-	short chain dehydrogenase 	3	7	3	314	0.501200	U
Rv0946c	pgi	glucose-6-phosphate isomerase 	0	17	17	1416	1.000000	E
Rv0948c	-	hypothetical protein Rv0948c 	1	6	5	150	0.050800	U
Rv0949	uvrD1	PROBABLE ATP-DEPENDENT DNA HELICASE II UVRD1 	2	44	38	1671	1.000000	E
Rv0950c	-	hypothetical protein Rv0950c 	5	18	6	449	0.833700	U
Rv0951	sucC	succinyl-CoA synthetase subunit beta 	0	14	14	758	1.000000	E
Rv0952	sucD	succinyl-CoA synthetase subunit alpha 	0	10	10	668	0.999500	E
Rv0953c	-	POSSIBLE OXIDOREDUCTASE 	9	10	1	2	0.000000	NE
Rv0954	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	15	25	4	52	0.000000	NE
Rv0955	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	0	17	17	1133	1.000000	E
Rv0956	purN	phosphoribosylglycinamide formyltransferase 	0	12	12	518	1.000000	E
Rv0957	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase 	0	20	20	974	1.000000	E
Rv0958	-	POSSIBLE MAGNESIUM CHELATASE 	8	11	2	26	0.000000	NE
Rv0959	-	hypothetical protein Rv0959 	5	14	5	196	0.000100	NE
Rv0960	-	hypothetical protein Rv0960 	3	5	2	79	-1.000000	S
Rv0961	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	5	7	1	2	0.000000	NE
Rv0962c	lprP	POSSIBLE LIPOPROTEIN LPRP 	13	14	1	2	0.000000	NE
Rv0963c	-	hypothetical protein Rv0963c 	7	10	1	2	0.000000	NE
Rv0964c	-	hypothetical protein Rv0964c 	4	5	1	2	0.000000	NE
Rv0965c	-	hypothetical protein Rv0965c 	5	6	1	2	0.000000	NE
Rv0966c	-	hypothetical protein Rv0966c 	7	9	1	2	0.000000	NE
Rv0967	-	hypothetical protein Rv0967 	1	1	0	0	-1.000000	S
Rv0968	-	hypothetical protein Rv0968 	5	6	1	2	0.000000	NE
Rv0969	ctpV	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE CTPV 	15	19	3	493	0.048700	U
Rv0970	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	4	12	3	77	0.000000	NE
Rv0971c	echA7	enoyl-CoA hydratase 	4	5	1	2	0.000000	NE
Rv0972c	fadE12	PROBABLE ACYL-CoA DEHYDROGENASE FADE12 	7	16	3	160	0.000000	NE
Rv0973c	accA2	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA2: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP) 	4	20	7	546	0.865400	U
Rv0974c	accD2	PROBABLE ACETYL-/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD2 	4	19	7	344	0.826400	U
Rv0975c	fadE13	PROBABLE ACYL-CoA DEHYDROGENASE FADE13 	10	18	2	10	0.000000	NE
Rv0976c	-	hypothetical protein Rv0976c 	13	17	2	71	0.000000	NE
Rv0977	PE_PGRS16	PE-PGRS FAMILY PROTEIN 	16	26	5	719	0.332300	U
Rv0978c	PE_PGRS17	PE-PGRS FAMILY PROTEIN 	2	2	0	0	-1.000000	S
Rv0979A	rpmF	50S ribosomal protein L32 	0	2	2	131	-1.000000	S
Rv0979c	-	hypothetical protein Rv0979c 	0	1	1	2	-1.000000	S
Rv0980c	PE_PGRS18	PE-PGRS FAMILY PROTEIN 	9	11	1	2	0.000000	NE
Rv0981	mprA	MYCOBACTERIAL PERSISTENCE REGULATOR MRPA (TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN) 	7	9	2	111	0.000000	NE
Rv0982	mprB	PROBABLE TWO COMPONENT SENSOR KINASE MPRB 	0	20	20	1247	1.000000	E
Rv0983	pepD	PROBABLE SERINE PROTEASE PEPD (SERINE PROTEINASE) (MTB32B) 	8	13	2	35	0.000000	NE
Rv0984	moaB2	POSSIBLE PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE MOAB2 (PHS) (4-ALPHA-HYDROXY-TETRAHYDROPTERIN DEHYDRATASE) (PTERIN-4-A-CARBINOLAMINE DEHYDRATASE) (PHENYLALANINE HYDROXYLASE-STIMULATING PROTEIN) (PHS) (PTERIN CARBINOLAMINE DEHYDRATASE) (PCD) 	2	5	3	157	0.000000	NE
Rv0985c	mscL	large-conductance mechanosensitive channel 	8	9	1	2	0.000000	NE
Rv0986	-	PROBABLE ADHESION COMPONENT TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	4	21	16	467	1.000000	E
Rv0987	-	PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	24	85	15	321	0.999300	E
Rv0988	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	6	37	12	304	0.997700	E
Rv0989c	grcC2	PROBABLE POLYPRENYL-DIPHOSPHATE SYNTHASE GRCC2 (POLYPRENYL PYROPHOSPHATE SYNTHETASE) 	14	17	1	2	0.000000	NE
Rv0990c	-	hypothetical protein Rv0990c 	5	8	1	2	0.000000	NE
Rv0991c	-	CONSERVED HYPOTHETICAL SERINE RICH PROTEIN 	1	1	0	0	-1.000000	S
Rv0992c	-	hypothetical protein Rv0992c 	4	6	1	2	0.000000	NE
