Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval sgRNA_strength	pval concentration dependence	qval concentration dependence	Z score of concentration dependence
0	RVBD0904c	accD3	11	0.876918	0.134517	0.010423	0.0	0.0	0.488796	0.589492	2.141683
0	RVBD3723	RVBD3723	7	0.633529	0.107745	0.038284	0.0	0.054057	0.055388	0.095823	7.898994
0	RVBD1506c	RVBD1506c	10	0.994332	0.185399	0.015566	0.0	0.094029	0.380843	0.479945	3.204454
1	RVBD3151	nuoG	14	1.644695	0.233985	0.217851	0.0	7e-06	2.1e-05	7.7e-05	45.00545
0	RVBD3437	RVBD3437	6	1.158704	0.423371	0.028401	0.0	0.0	0.088902	0.143088	5.856731
0	RVBD1473A	RVBD1473A	5	0.869308	0.109899	-0.000656	0.0	0.352147	0.966394	0.974975	-0.147726
1	RVBD0792c	RVBD0792c	7	1.25405	0.28223	0.066156	0.0	0.0	0.000248	0.000766	13.658578
-1	RVBD0017c	rodA	14	-2.191532	0.074136	-0.577592	0.0	0.0	0.0	0.0	-119.368131
0	RVBD0948c	RVBD0948c	29	0.913003	0.114891	0.003272	0.0	0.0	0.788437	0.841791	0.663972
0	RVBD1625c	cya	8	0.970481	0.310864	-0.007144	0.0	0.0	0.7425	0.807301	-1.488433
0	RVBD3664c	dppC	15	0.893023	0.203512	-0.009764	0.0	0.0	0.487209	0.588116	-2.02984
-1	RVBD0495c	RVBD0495c	7	0.355871	0.212208	-0.104575	6e-06	0.0	0.0	0.0	-21.621972
1	RVBD0315	RVBD0315	13	2.225815	0.354161	0.247594	0.0	0.0	0.0	0.0	51.151665
0	RVBD2484c	RVBD2484c	13	0.638075	0.173595	-0.025373	0.0	0.0	0.357665	0.455425	-5.255348
1	RVBD0606	RVBD0606	7	1.163914	0.192034	0.04882	0.0	0.0	0.007275	0.016048	10.076196
-1	RVBD1280c	oppA	10	-0.008786	0.093371	-0.212495	0.93063	0.065118	0.0	0.0	-43.923
0	RVBD1553	frdB	10	1.247927	0.530213	0.045128	0.0	0.0	0.03793	0.068759	9.313266
-1	RVBD2587c	secD	162	0.11602	0.168675	-0.192072	1e-06	0.0	0.0	0.0	-39.702708
1	RVBD0600c	RVBD0600c	6	1.021396	0.25569	0.038839	0.0	0.0	0.016477	0.032946	8.013681
0	RVBD0966c	RVBD0966c	8	1.144776	0.413687	0.038961	0.0	0.0	0.085924	0.139041	8.038892
0	RVBD1112	RVBD1112	6	1.573818	0.686526	0.025509	0.0	0.000626	0.191564	0.269972	5.259116
0	RVBD3057c	RVBD3057c	6	1.21548	0.220066	0.044835	0.0	0.0	0.076582	0.126302	9.252719
1	RVBD1251c	RVBD1251c	29	1.138744	0.19427	0.050031	0.0	0.0	3e-06	1.2e-05	10.326442
-1	RVBD0218	RVBD0218	15	0.586413	0.172662	-0.050099	0.0	0.0	0.004105	0.009589	-10.364829
-1	RVBD2224c	caeA	13	-0.778555	0.137019	-0.270306	0.0	0.0	0.0	0.0	-55.869301
-1	RVBD3248c	sahH	92	0.287995	0.110161	-0.117508	0.0	0.0	0.0	0.0	-24.294499
-1	RVBD1401	RVBD1401	9	-0.541195	0.060084	-0.203415	0.0	0.0	0.0	0.0	-42.046672
0	RVBD2595	vapB40	7	0.864506	0.204347	-0.003584	0.0	0.0	0.852625	0.895411	-0.75278
-1	RVBD3365c	RVBD3365c	12	0.503623	0.222855	-0.073287	0.0	0.0	2e-06	8e-06	-15.156492
-1	RVBD2554c	RVBD2554c	30	0.484459	0.12582	-0.035737	0.0	0.0	0.012285	0.025498	-7.397007
0	RVBD3328c	sigJ	5	1.044759	0.306975	0.010935	0.0	0.0	0.705509	0.776021	2.247485
0	RVBD3738c	PPE66	7	0.973984	-0.297261	0.004034	0.0	0.012629	0.781147	0.837044	0.821435
1	RVBD0486	mshA	7	3.713045	0.308094	0.484844	0.0	0.0	0.0	0.0	100.177971
0	RVBD3642c	RVBD3642c	1	33.968815	0.108871	6.6e-05	0.163706	1.0	1.0	1.0	0.001471
-1	RVBD0482	murB	76	-0.510971	0.06818	-0.153656	0.0	0.0	0.0	0.0	-31.764269
0	RVBD0314c	RVBD0314c	7	1.292337	0.43188	0.070839	0.0	0.00138	0.052439	0.091372	14.626292
0	RVBD2464c	RVBD2464c	5	0.868529	0.285708	-0.007026	0.0	0.0	0.749356	0.812107	-1.464049
0	RVBD0297	PE-PGRS5	11	1.008753	0.23258	0.025795	0.0	0.0	0.173786	0.249883	5.318216
1	RVBD2231Ac	RVBD2231Ac	6	1.242905	0.274753	0.04882	0.0	0.0	0.003426	0.008193	10.076196
0	RVBD0619	galTb	6	1.247589	0.262974	0.055242	0.0	0.0	0.139202	0.208313	11.403264
0	RVBD1374c	RVBD1374c	6	1.029234	-0.389511	0.021943	0.0	0.057486	0.219763	0.304293	4.522223
0	RVBD2956	RVBD2956	14	0.946151	0.292041	-0.007886	0.0	0.0	0.576431	0.668448	-1.641763
1	RVBD3910	RVBD3910	424	1.789763	0.136314	0.181105	0.0	0.0	0.0	0.0	37.412107
-1	RVBD3651	RVBD3651	6	-0.349424	0.80457	-0.263647	0.049405	8.1e-05	0.0	0.0	-54.493258
1	RVBD1980c	mpt64	7	1.922826	0.31775	0.21623	0.0	0.0	0.0	0.0	44.67048
0	RVBD2072c	cobL	7	0.657331	0.178081	-0.014811	0.0	0.0	0.498124	0.597364	-3.072773
1	RVBD1526c	RVBD1526c	12	1.370215	0.338351	0.080469	0.0	0.0	0.002995	0.00727	16.616274
1	RVBD0840c	pip	7	1.666733	0.491547	0.141296	0.0	0.0	2e-06	8e-06	29.185813
0	RVBD2314c	RVBD2314c	14	0.928613	0.206492	-0.007185	0.0	0.0	0.656676	0.736752	-1.496905
0	RVBD2796c	lppV	6	1.079182	0.264111	0.013565	0.0	0.0	0.585283	0.676964	2.790959
0	RVBD0984	moaB2	5	0.808771	0.183829	-0.000843	0.0	0.0	0.975834	0.981705	-0.186369
1	RVBD2194	qcrC	87	1.242682	0.093973	0.124487	0.0	0.0	0.0	0.0	25.712333
0	RVBD1767	RVBD1767	5	1.173786	0.088886	0.064761	0.0	0.353481	0.028658	0.053588	13.370309
0	RVBD1805c	RVBD1805c	6	0.909072	0.070054	-0.003509	0.0	0.51898	0.897857	0.927242	-0.737282
0	RVBD3567c	hsaB	9	0.83438	0.234609	-0.031997	0.0	0.0	0.110613	0.171767	-6.624158
0	RVBD1227c	RVBD1227c	6	0.905344	0.246624	0.011464	0.0	0.0	0.546963	0.641459	2.3568
1	RVBD0791c	RVBD0791c	12	1.179151	0.539919	0.037307	0.0	0.0	0.011306	0.023697	7.697103
1	RVBD2295	RVBD2295	5	1.38678	0.342921	0.084272	0.0	0.0	0.001147	0.003086	17.402142
-1	RVBD2553c	RVBD2553c	10	-0.659071	0.054686	-0.199125	0.0	0.0	0.0	0.0	-41.160169
0	RVBD3307	deoD	5	0.727205	-0.204956	0.006639	0.0	0.10022	0.743664	0.807435	1.359742
1	RVBD1297	rho	130	3.911428	0.22961	0.480631	0.0	0.0	0.0	0.0	99.30738
0	RVBD2545	vapB18	5	1.126976	0.3693	0.057752	0.0	0.02041	0.039329	0.071042	11.921941
-1	RVBD0352	dnaJ1	7	-0.376144	0.148384	-0.308183	0.007012	0.0	0.0	0.0	-63.696358
0	RVBD0408	pta	19	1.028119	0.184666	0.015869	0.0	0.0	0.276066	0.367028	3.267067
-1	RVBD3792	aftA	231	-0.191546	0.098427	-0.216717	0.0	0.0	0.0	0.0	-44.795451
0	RVBD1203c	RVBD1203c	4	1.041104	0.668526	0.00834	0.0	0.283905	0.748975	0.812107	1.711244
0	RVBD2217	lipB	38	1.137646	0.114461	0.033354	0.0	0.0	0.038241	0.069231	6.880239
0	RVBD2708c	RVBD2708c	7	1.283688	0.339386	0.038013	0.0	0.0	0.234548	0.321023	7.842993
-1	RVBD0465c	RVBD0465c	12	0.932375	0.534324	-0.055067	0.0	1e-06	0.000639	0.001809	-11.391437
0	RVBD0744c	RVBD0744c	5	0.790045	0.209682	-0.021739	0.0	0.0	0.357928	0.455617	-4.504403
1	RVBD1794	RVBD1794	73	0.911595	0.104246	0.064976	0.0	0.0	0.0	0.0	13.414738
1	tRNA-Lys30	tRNA-Lys30	4	1.397411	-0.29137	0.105285	0.0	0.048714	0.000799	0.002218	21.744354
1	RVBD0672	fadE8	13	1.345856	0.302779	0.069517	0.0	0.0	0.020556	0.039974	14.353108
0	RVBD0258c	RVBD0258c	8	1.134272	0.27339	0.033842	0.0	0.0	0.242252	0.329891	6.981081
0	RVBD1673c	RVBD1673c	11	1.077152	0.264512	0.024257	0.0	0.0	0.114645	0.176963	5.000398
1	RVBD2867c	RVBD2867c	5	3.565636	0.666074	0.406192	0.0	0.0	0.0	0.0	83.925002
0	RVBD0168	yrbE1B	8	0.62924	0.15549	-0.011984	0.0	0.0	0.493098	0.593098	-2.48859
-1	RVBD0437c	psd	6	0.093617	0.247931	-0.230311	0.684319	0.000566	0.0	0.0	-47.604571
1	RVBD1422	RVBD1422	6	11.427166	0.390203	1.980935	0.0	0.0	0.0	0.0	409.336309
0	RVBD0222	echA1	9	0.952625	0.174632	0.021851	0.0	0.0	0.070376	0.117533	4.503212
-1	RVBD3035	RVBD3035	74	-1.294502	0.047475	-0.399977	0.0	0.0	0.0	0.0	-82.665044
-1	RVBD0216	RVBD0216	10	0.599977	0.139362	-0.045013	0.0	0.0	0.01867	0.036767	-9.313837
0	RVBD2419c	gpgP	5	0.89658	0.128976	-0.000818	0.0	0.004231	0.976211	0.981802	-0.181203
1	RVBD2500c	fadE19	9	1.224782	0.249504	0.053467	0.0	0.0	0.001009	0.002752	11.036471
0	RVBD0723	rplO	24	0.606373	0.104413	-0.029447	0.0	0.0	0.049733	0.087335	-6.097216
1	RVBD1089A	celA2a	2	0.392375	21.104068	0.110808	0.100505	3e-06	0.022962	0.04408	22.885649
-1	RVBD1886c	fbpB	9	-0.274307	0.549354	-0.25822	0.000385	0.0	0.0	0.0	-53.3718
0	RVBD2385	mbtJ	10	1.205679	0.4426	0.032713	0.0	0.0	0.105348	0.165115	6.74778
0	RVBD0621	RVBD0621	11	0.952568	0.206457	-0.004429	0.0	0.0	0.851593	0.895411	-0.927394
0	RVBD2433c	RVBD2433c	5	0.900075	0.316388	0.004099	0.0	5e-06	0.876503	0.912422	0.834866
-1	RVBD2753c	dapA	77	0.282991	0.102821	-0.125487	0.0	0.0	0.0	0.0	-25.943312
0	RVBD2602	vapC41	7	0.883747	0.144921	-0.012087	0.0	0.000676	0.462132	0.5612	-2.509875
0	RVBD3487c	lipF	7	1.143421	0.219738	0.032264	0.0	0.0	0.125988	0.191326	6.654997
-1	RVBD2214c	ephD	11	0.171269	0.247359	-0.160321	0.012795	0.0	0.0	0.0	-33.141552
0	RVBD3612c	RVBD3612c	7	1.009401	0.309864	-0.012904	0.0	0.0	0.60696	0.697244	-2.678703
0	RVBD3233c	RVBD3233c	6	0.614583	-0.730461	-0.024044	0.0	0.049693	0.217478	0.301232	-4.980718
-1	RVBD1366	RVBD1366	7	0.690773	0.217191	-0.048336	0.0	0.0	0.012634	0.026075	-10.000516
0	RVBD0199	RVBD0199	5	1.25483	0.524058	0.037746	0.0	0.0	0.094397	0.150783	7.787819
1	RVBD0877	RVBD0877	6	1.519159	0.178232	0.18929	0.0	0.0	0.0	0.0	39.103489
0	RVBD1209	RVBD1209	5	0.715148	0.532461	-0.050601	0.0	0.001983	0.062229	0.105606	-10.468564
1	RVBD2873	mpt83	8	1.230043	0.262005	0.061621	0.0	0.031256	0.004207	0.009793	12.721447
-1	RVBD0410c	pknG	19	-1.789132	0.055099	-0.444924	0.0	0.002143	0.0	0.0	-91.953075
0	RVBD2636	RVBD2636	7	1.038519	0.523428	-0.004631	0.0	0.0	0.83549	0.882003	-0.969136
0	RVBD0344c	lpqJ	8	1.046069	0.529724	-0.006719	0.0	0.0	0.781716	0.837272	-1.400609
1	RVBD3160c	RVBD3160c	10	1.481558	0.308335	0.117507	0.0	0.0	1.3e-05	4.9e-05	24.269957
1	RVBD0257	RVBD0257	7	1.23609	0.214782	0.059547	0.0	0.0	0.002169	0.005418	12.292867
0	RVBD3703c	RVBD3703c	11	0.964	0.217061	-0.008952	0.0	0.0	0.591737	0.683255	-1.862045
0	RVBD1330c	pncB1	8	1.209137	0.275876	0.054171	0.0	8e-06	0.032676	0.060347	11.181948
0	RVBD1378c	RVBD1378c	5	0.636375	0.097424	-0.012854	0.0	0.0	0.65562	0.735774	-2.668371
0	RVBD2584c	apt	7	0.92979	0.320709	-0.042835	0.0	0.0	0.034865	0.063922	-8.863767
0	RVBD2975c	RVBD2975c	6	0.673061	0.023415	0.005865	0.0	0.445735	0.702184	0.773839	1.1998
0	RVBD1917c	PPE34	40	1.019467	0.345655	0.010625	0.0	0.0	0.245217	0.332694	2.183426
-1	RVBD0229c	RVBD0229c	7	0.375748	0.232102	-0.129789	0.0	0.0	0.0	0.0	-26.832295
-1	RVBD1607	chaA	9	-0.731759	0.139021	-0.310921	0.0	0.0	0.0	0.0	-64.26215
-1	RVBD3303c	lpdA	8	-1.088041	0.006485	-0.070496	0.0	0.296653	4e-06	1.6e-05	-14.579748
0	RVBD1627c	RVBD1627c	6	1.191234	0.43557	0.038967	0.0	0.0	0.054574	0.094522	8.040132
0	RVBD1538c	ansA	5	0.601961	0.182247	-0.029699	0.0	0.0	0.26905	0.359	-6.14929
1	RVBD2258c	RVBD2258c	11	1.022334	0.215872	0.033032	0.0	0.000109	0.026137	0.049446	6.813699
0	RVBD2962c	RVBD2962c	18	0.958802	0.241513	-0.001052	0.0	0.0	0.942139	0.95848	-0.229557
0	RVBD3045	adhC	6	1.794921	1.034951	0.078094	0.0	1.7e-05	0.151898	0.22334	16.125495
-1	RVBD3212	RVBD3212	69	0.705533	0.262062	-0.047296	0.0	0.0	7e-06	2.7e-05	-9.785606
1	RVBD3281	accE5	11	1.469499	0.120347	0.110362	0.0	0.0	0.000174	0.000551	22.793486
0	RVBD2917	RVBD2917	13	1.103133	0.406622	0.025024	0.0	0.0	0.059785	0.102145	5.158894
0	RVBD2982c	gpdA2	6	0.828779	0.263971	-0.019029	0.0	0.000423	0.370937	0.469072	-3.944398
0	RVBD3020c	esxS	29	1.158501	0.351131	0.038888	0.0	0.0	0.033619	0.061974	8.023807
1	RVBD1008	tatD	6	1.373387	0.206735	0.09405	0.0	0.0	6.6e-05	0.000224	19.422707
-1	RVBD2468c	RVBD2468c	6	0.351608	0.327716	-0.185397	0.231817	0.20815	0.000984	0.002698	-38.323359
1	RVBD1278	RVBD1278	7	1.702607	0.615666	0.081284	0.0	0.0	9e-06	3.4e-05	16.784689
1	RVBD1751	RVBD1751	14	1.25421	0.21448	0.078879	0.0	0.0	5e-06	2e-05	16.28771
0	RVBD0775	RVBD0775	6	0.938686	0.098665	0.020948	0.0	0.04919	0.346024	0.443398	4.316612
1	RVBD1843c	guaB1	8	1.593069	0.371379	0.123464	0.0	0.0	0.0	0.0	25.500936
-1	RVBD0558	menH	58	0.627014	0.149046	-0.04461	0.0	0.0	0.000995	0.002723	-9.23056
1	RVBD0898c	RVBD0898c	4	1.357278	-1.63578	0.105526	0.0	8.5e-05	0.003564	0.008488	21.794155
-1	RVBD3708c	asd	99	0.629876	0.091723	-0.032077	0.0	0.0	0.005399	0.012272	-6.64069
1	RVBD3407	vapB47	7	1.029334	0.279742	0.040719	0.0	0.000889	0.01029	0.021851	8.402172
-1	RVBD3473c	bpoA	13	0.872686	0.279257	-0.057271	0.0	0.0	0.000161	0.000512	-11.84688
1	RVBD1796	mycP5	149	1.125246	0.121422	0.117187	0.0	0.0	0.0	0.0	24.203831
1	RVBD1942c	mazF5	7	1.43034	0.332871	0.105043	0.0	0.000192	7.6e-05	0.000256	21.694346
0	RVBD0234c	gabD1	15	1.010668	0.198703	0.023633	0.0	0.0	0.083993	0.136299	4.871452
0	RVBD0811c	RVBD0811c	100	1.019787	0.10625	0.011478	0.0	0.0	0.169062	0.244134	2.359693
1	RVBD1377c	RVBD1377c	7	1.595828	0.343929	0.147336	0.0	0.06766	0.0	0.0	30.433943
-1	RVBD2447c	folC	127	0.203521	0.104585	-0.14598	0.0	0.0	0.0	0.0	-30.178069
0	RVBD3190c	RVBD3190c	13	1.116382	0.293039	0.009298	0.0	0.0	0.55954	0.652985	1.909209
1	RVBD3873	PPE68	7	1.241593	0.225631	0.076372	0.0	0.07767	0.000671	0.00189	15.769653
1	RVBD1905c	aao	6	1.549082	1.179825	0.092729	0.0	9e-06	1.6e-05	6e-05	19.149731
0	RVBD3323c	moaX	8	1.09492	0.289452	0.03117	0.0	0.0	0.236299	0.323201	6.428928
0	RVBD0449c	RVBD0449c	15	0.926277	0.253698	0.003766	0.0	0.0	0.803495	0.853581	0.766054
0	RVBD1122	gnd2	73	0.9555	0.212795	0.008798	0.0	0.0	0.361052	0.458437	1.805887
0	RVBD1542c	glbN	7	1.040239	0.375465	0.023275	0.0	0.000168	0.192441	0.27092	4.797473
-1	RVBD2223c	RVBD2223c	8	0.489671	0.284702	-0.102551	0.0	0.0	0.0	0.0	-21.203724
-1	RVBD2353c	PPE39	9	0.611732	0.180119	-0.053235	0.0	0.0	0.023151	0.0444	-11.012865
-1	RVBD2426c	RVBD2426c	9	0.632101	0.236748	-0.054958	0.0	0.0	0.003772	0.008883	-11.368913
-1	RVBD0647c	RVBD0647c	107	0.03837	0.119286	-0.187171	0.317641	0.0	0.0	0.0	-38.689945
0	RVBD0568	cyp135B1	6	0.870913	0.107106	0.017211	0.0	1e-06	0.207749	0.289344	3.544383
0	RVBD1731	gabD2	15	0.855081	0.284122	-0.053216	0.0	0.0	0.171895	0.247487	-11.008939
0	RVBD2349c	plcC	12	0.892342	0.190643	-0.007676	0.0	0.0	0.588194	0.679747	-1.598368
0	RVBD0613c	RVBD0613c	15	0.88744	0.162861	0.031742	0.0	0.0	0.122746	0.18765	6.547128
0	RVBD1762c	RVBD1762c	7	1.061426	0.402204	0.005497	0.0	0.0	0.769283	0.827506	1.123755
0	RVBD1534	RVBD1534	6	0.98192	-0.242434	0.022468	0.0	0.057667	0.302899	0.396925	4.630711
-1	RVBD2172c	RVBD2172c	74	0.450038	0.122591	-0.107628	0.0	0.0	0.0	0.0	-22.252856
-1	RVBD3363c	RVBD3363c	6	0.746635	0.358276	-0.065097	0.0	0.0	8e-05	0.000269	-13.464077
1	RVBD0692	RVBD0692	6	1.468479	0.526628	0.087104	0.0	0.0	0.000292	0.000894	17.987358
1	RVBD3861	RVBD3861	6	1.152271	0.131983	0.082954	0.0	0.158223	9.7e-05	0.000321	17.129785
0	RVBD0911	RVBD0911	9	0.980287	0.139898	0.0155	0.0	0.0	0.349488	0.447269	3.190815
0	RVBD1634	RVBD1634	8	0.894976	0.184728	0.002077	0.0	0.0	0.918755	0.942558	0.417032
1	RVBD1066	RVBD1066	5	1.654846	0.509001	0.121298	0.0	5e-06	9.5e-05	0.000316	25.053345
1	RVBD1739c	RVBD1739c	23	1.11586	0.532234	0.03557	0.0	0.0	0.016287	0.032598	7.338162
1	RVBD3098B	RVBD3098B	4	1.203834	-0.844548	0.075889	0.0	0.01703	0.001495	0.003929	15.669844
-1	RVBD1484	inhA	77	-0.15895	0.091	-0.203788	0.006521	0.0	0.0	0.0	-42.12375
0	RVBD0724	sppA	13	0.70551	0.227734	-0.022031	0.0	1.2e-05	0.339837	0.43764	-4.564743
0	RVBD1842c	RVBD1842c	11	1.12094	0.622496	0.009885	0.0	0.0	0.599053	0.690321	2.030509
1	RVBD2569c	RVBD2569c	12	1.915276	0.256308	0.181672	0.0	0.0	0.0	0.0	37.529274
0	RVBD3108	RVBD3108	6	1.179909	0.392491	0.024265	0.0	0.0	0.346596	0.44388	5.002051
-1	RVBD1402	priA	194	0.638154	0.15578	-0.073073	0.0	0.0	0.0	0.0	-15.11227
0	RVBD2936	drrA	11	0.818845	0.051531	-0.016102	0.0	0.453954	0.395767	0.495967	-3.339551
0	RVBD0526	RVBD0526	58	0.830695	0.107264	0.016943	0.0	0.0	0.050216	0.088069	3.489003
0	RVBD0852	fadD16	10	1.070072	0.230259	0.016156	0.0	0.0	0.350452	0.448361	3.326374
0	RVBD2658c	RVBD2658c	6	0.934051	0.458974	-0.011329	0.0	0.0	0.548773	0.643021	-2.353238
-1	RVBD3247c	tmk	52	0.426145	0.10668	-0.080442	0.0	0.0	0.0	0.0	-16.63503
-1	RVBD3379c	dxs2	15	0.145934	0.184787	-0.177002	0.03253	0.0	0.0	0.0	-36.588582
0	RVBD0121c	RVBD0121c	5	1.211062	0.954037	0.042692	0.0	0.0	0.092907	0.148909	8.809881
-1	RVBD3221c	TB7.3	19	0.284245	0.096836	-0.156906	0.000169	0.0	0.0	0.0	-32.435863
0	RVBD0926c	RVBD0926c	7	0.951054	0.433023	-0.003307	0.0	0.002364	0.891358	0.922417	-0.69554
-1	RVBD0002	dnaN	139	-0.292793	0.100309	-0.247965	0.0	0.0	0.0	0.0	-51.252665
0	RVBD1316c	ogt	7	0.96066	0.638087	-0.008452	0.0	0.024181	0.752355	0.814463	-1.758723
1	RVBD2705c	RVBD2705c	6	1.305169	0.262713	0.064553	0.0	4.4e-05	0.004105	0.009589	13.327327
-1	RVBD2845c	proS	153	0.307032	0.113929	-0.133844	0.0	0.0	0.0	0.0	-27.670237
-1	RVBD2678c	hemE	93	0.380353	0.099002	-0.025881	0.0	0.0	0.00453	0.010448	-5.360323
0	RVBD2999	lppY	7	1.465537	1.159273	0.05448	0.0	9.8e-05	0.054342	0.094251	11.245801
0	RVBD3093c	RVBD3093c	8	0.885468	0.190214	0.00205	0.0	0.0	0.894714	0.924942	0.411453
1	RVBD1581c	RVBD1581c	5	1.259939	0.268979	0.098098	0.0	0.030752	0.001059	0.002867	20.259203
-1	RVBD3411c	guaB2	126	0.191555	0.09311	-0.075214	2e-06	0.0	0.0	0.0	-15.554695
0	RVBD0565c	RVBD0565c	12	1.001377	0.358431	-0.001411	0.0	0.000827	0.932725	0.953017	-0.303742
0	RVBD3178	RVBD3178	5	1.240977	0.923948	0.03698	0.0	0.001232	0.17481	0.250683	7.62953
0	RVBD3321c	vapB44	5	0.443222	-4.072453	0.049778	0.003847	0.0	0.149809	0.22059	10.274161
1	RVBD1120c	RVBD1120c	6	1.395858	0.277588	0.078162	0.0	0.0	0.000394	0.001171	16.139546
-1	RVBD0733	adk	6	0.438415	0.092999	-0.205555	0.008142	0.0	0.0	0.0	-42.48889
1	RVBD1235	lpqY	6	1.28393	0.260437	0.081405	0.0	0.0	0.000627	0.00178	16.809693
1	RVBD0828c	RVBD0828c	5	1.371902	-0.184422	0.133948	0.0	0.454578	0.0	0.0	27.667393
1	RVBD0108c	RVBD0108c	5	1.361763	0.35675	0.090487	0.0	0.336657	0.003035	0.007362	18.686435
-1	RVBD1331	RVBD1331	4	0.164708	-0.157671	-0.105437	0.105843	0.228859	6e-06	2.3e-05	-21.800099
-1	rnpB	rnpB	21	0.296349	0.158326	-0.172466	5e-06	0.0	0.0	0.0	-35.651244
0	RVBD2183c	RVBD2183c	6	1.142536	0.343522	0.045935	0.0	0.0	0.064378	0.108842	9.480028
-1	RVBD2091c	RVBD2091c	8	-1.733114	0.205147	-0.542673	0.0	0.006204	0.0	0.0	-112.152327
-1	RVBD0227c	RVBD0227c	99	-0.565981	0.076337	-0.241296	0.0	0.0	0.0	0.0	-49.874556
-1	RVBD1006	RVBD1006	16	-1.064197	0.102367	-0.354894	0.0	0.0	0.0	0.0	-73.348909
1	RVBD2437	RVBD2437	48	1.210734	0.319641	0.067148	0.0	3e-06	0.0	0.0	13.863569
-1	RVBD6007	tRNA-Trp	4	-1.519541	0.001457	-0.093405	0.0	0.870124	0.000447	0.001311	-19.313757
0	RVBD0802c	RVBD0802c	7	0.992252	0.246496	0.022368	0.0	0.01472	0.230477	0.316309	4.610047
0	RVBD1277	RVBD1277	10	0.71078	0.134678	-0.020207	0.0	0.0	0.360488	0.457865	-4.187824
-1	RVBD2410c	RVBD2410c	13	0.551052	0.20125	-0.092899	0.0	0.0	0.0	0.0	-19.209195
0	RVBD3061c	fadE22	13	0.936923	0.230775	0.009282	0.0	0.0	0.581828	0.673546	1.905903
0	RVBD0155	pntAa	9	1.216168	0.167805	0.068342	0.0	0.0	0.028221	0.05298	14.110302
0	RVBD2178c	aroG	88	0.808939	0.098767	-0.011943	0.0	0.0	0.294064	0.387068	-2.480118
0	RVBD0390	RVBD0390	8	0.786104	0.163659	-0.019072	0.0	0.0	0.385137	0.48445	-3.953283
-1	RVBD1440	secG	5	-1.698505	-0.019044	-0.210396	0.0	0.038539	0.0	0.0	-43.489254
-1	RVBD2398c	cysW	98	0.272983	0.392026	-0.133732	0.0	0.0	0.0	0.0	-27.647093
1	RVBD0203	RVBD0203	5	1.293049	0.442436	0.058064	0.0	0.153351	0.00822	0.017859	11.986414
-1	RVBD1392	metK	89	-0.245875	0.072574	-0.185675	0.0	0.0	0.0	0.0	-38.380806
0	RVBD1142c	echA10	6	1.109292	0.265827	0.032638	0.0	0.0	0.091094	0.146236	6.732282
0	RVBD3000	RVBD3000	8	1.119332	0.501229	0.027727	0.0	0.0	0.153352	0.225069	5.717453
0	RVBD3500c	yrbE4B	7	0.987964	0.174064	0.02335	0.0	0.0	0.227258	0.312528	4.812971
0	RVBD1779c	RVBD1779c	9	0.860065	0.036522	0.00529	0.0	0.678212	0.784802	0.839076	1.080979
-1	RVBD3801c	fadD32	181	0.503118	0.105113	-0.075408	0.0	0.0	0.0	0.0	-15.594784
0	RVBD2316	uspA	17	0.876413	0.371514	-0.024566	0.0	0.0	0.124005	0.189431	-5.088586
-1	RVBD0003	recF	6	-0.242286	0.111563	-0.166784	0.079592	0.0	7e-06	2.7e-05	-34.477093
0	Negative	Negative0	98	0.539823	-0.03748	0.00025	0.0	0.369968	0.963049	0.973412	0.039493
-1	RVBD1311	atpC	50	0.044952	0.085213	-0.084284	0.481107	0.0	0.0	0.0	-17.428957
-1	RVBD1656	argF	111	0.69866	0.138775	-0.019604	0.0	0.0	0.002627	0.006446	-4.063218
0	RVBD2486	echA14	6	1.122084	0.476105	0.005626	0.0	0.0	0.798771	0.849457	1.150412
0	RVBD0687	RVBD0687	6	1.036038	0.232624	0.031465	0.0	0.051116	0.04442	0.079106	6.489888
0	RVBD2083	RVBD2083	6	1.226939	0.064532	0.055555	0.0	0.778353	0.0574	0.098723	11.467944
-1	RVBD0164	TB18.5	63	-0.079911	0.091683	-0.249324	0.133448	0.0	0.0	0.0	-51.533495
-1	RVBD0824c	desA1	57	-0.570093	0.084368	-0.22673	0.0	0.0	0.0	0.0	-46.864578
-1	RVBD2188c	pimB	142	0.292037	0.131502	-0.135852	0.0	0.0	0.0	0.0	-28.085178
-1	RVBD1315	murA	120	0.716927	0.114713	-0.041041	0.0	0.0	0.0	0.0	-8.493047
1	RVBD0641	rplA	56	1.060965	0.092386	0.086217	0.0	0.0	0.0	0.0	17.804064
1	RVBD0913c	RVBD0913c	23	1.137655	0.328819	0.041835	0.0	0.0	0.003424	0.008193	8.632787
0	RVBD2911	dacB2	5	0.980245	0.455769	-0.020306	0.0	0.024607	0.309711	0.404024	-4.208282
-1	RVBD0646c	lipG	9	0.012424	0.145016	-0.149653	0.869407	0.008934	0.0	0.0	-30.937073
1	RVBD2620c	RVBD2620c	38	1.377774	0.206325	0.104141	0.0	0.0	0.0	0.0	21.507953
1	RVBD1030	kdpB	11	1.171748	0.200184	0.064275	0.0	0.0	0.002455	0.006068	13.26988
1	RVBD1103c	mazE3	7	1.43578	0.395285	0.114492	0.0	0.031003	0.000136	0.000438	23.646926
0	RVBD1936	RVBD1936	9	0.981313	0.549625	0.008589	0.0	7e-06	0.695592	0.768042	1.762698
