#HMM - Genes
#Orf	Name	Desc	N	n0	n1	n2	n3	Avg. Insertions	Avg. Reads	State Call
Rv0645c	mmaA1	METHOXY MYCOLIC ACID SYNTHASE 1 MMAA1 (METHYL MYCOLIC ACID SYNTHASE 1) (MMA1) (HYDROXY MYCOLIC ACID SYNTHASE) 	15	0	0	15	0	0.9333	664.6	NE
Rv0646c	lipG	PROBABLE LIPASE/ESTERASE LIPG 	9	0	0	9	0	1.0000	408.0	NE
Rv0647c	-	hypothetical protein Rv0647c 	11	11	0	0	0	0.0000	0.0	ES
Rv0648	-	ALPHA-MANNOSIDASE 	35	0	0	35	0	0.7714	488.6	NE
Rv0649	fabD2	POSSIBLE MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE FABD2 (MCT) 	4	0	0	4	0	0.5000	243.0	NE
Rv0650	-	POSSIBLE SUGAR KINASE 	5	0	0	5	0	0.8000	720.0	NE
Rv0651	rplJ	50S ribosomal protein L10 	5	0	0	5	0	0.0000	0.0	NE
Rv0652	rplL	50S ribosomal protein L7/L12 	0	0	0	0	0	nan	0.0	N/A
Rv0653c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	10	0	0	10	0	0.6000	114.7	NE
Rv0654	-	PROBABLE DIOXYGENASE 	25	0	0	25	0	0.8000	418.4	NE
Rv0655	mkl	POSSIBLE RIBONUCLEOTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MKL 	11	0	0	11	0	0.6364	188.7	NE
Rv0656c	-	hypothetical protein Rv0656c 	4	0	0	4	0	1.0000	363.0	NE
Rv0657c	-	hypothetical protein Rv0657c 	1	0	0	1	0	1.0000	208.0	NE
Rv0658c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	14	0	0	14	0	0.7143	136.4	NE
Rv0659c	-	hypothetical protein Rv0659c 	4	0	0	4	0	0.7500	448.7	NE
Rv0660c	-	hypothetical protein Rv0660c 	2	0	0	2	0	1.0000	263.5	NE
Rv0661c	-	hypothetical protein Rv0661c 	4	0	0	4	0	1.0000	292.0	NE
Rv0662c	-	hypothetical protein Rv0662c 	4	0	0	4	0	1.0000	176.5	NE
Rv0663	atsD	POSSIBLE ARYLSULFATASE ATSD (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE) 	43	0	0	43	0	0.5814	106.2	NE
Rv0664	-	hypothetical protein Rv0664 	3	0	0	3	0	0.6667	346.5	NE
Rv0665	-	hypothetical protein Rv0665 	5	2	0	3	0	0.8000	55.2	NE
Rv0666	-	POSSIBLE MEMBRANE PROTEIN 	0	0	0	0	0	nan	0.0	N/A
Rv0667	rpoB	DNA-directed RNA polymerase subunit beta 	32	32	0	0	0	0.0000	0.0	ES
Rv0668	rpoC	DNA-directed RNA polymerase subunit beta' 	35	35	0	0	0	0.0000	0.0	ES
Rv0669c	-	POSSIBLE HYDROLASE 	32	0	0	32	0	0.8750	336.8	NE
Rv0670	end	endonuclease IV 	5	0	0	5	0	0.8000	478.8	NE
Rv0671	lpqP	POSSIBLE CONSERVED LIPOPROTEIN LPQP 	12	0	0	12	0	0.8333	149.0	NE
Rv0672	fadE8	PROBABLE ACYL-CoA DEHYDROGENASE FADE8 	23	0	0	23	0	0.6957	109.9	NE
Rv0673	echA4	enoyl-CoA hydratase 	8	0	0	8	0	0.7500	300.5	NE
Rv0674	-	hypothetical protein Rv0674 	6	0	0	6	0	0.3333	164.5	NE
Rv0675	echA5	enoyl-CoA hydratase 	4	0	0	4	0	0.2500	36.0	NE
Rv0676c	mmpL5	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL5 	31	0	0	31	0	0.7097	199.4	NE
Rv0677c	mmpS5	POSSIBLE CONSERVED MEMBRANE PROTEIN MMPS5 	6	0	0	6	0	0.8333	123.6	NE
Rv0678	-	hypothetical protein Rv0678 	5	0	0	5	0	0.8000	458.8	NE
Rv0679c	-	CONSERVED HYPOTHETICAL THREONINE RICH PROTEIN 	6	0	0	6	0	0.6667	135.8	NE
Rv0680c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	0	0	3	0	1.0000	119.3	NE
Rv0681	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	11	0	0	11	0	0.6364	226.4	NE
Rv0682	rpsL	30S ribosomal protein S12 	7	7	0	0	0	0.0000	0.0	ES
Rv0683	rpsG	30S ribosomal protein S7 	4	4	0	0	0	0.0000	0.0	ES
Rv0684	fusA1	elongation factor G 	29	29	0	0	0	0.0000	0.0	ES
Rv0685	tuf	elongation factor Tu 	11	11	0	0	0	0.0000	0.0	ES
Rv0686	-	PROBABLE MEMBRANE PROTEIN 	8	0	0	8	0	1.0000	529.4	NE
Rv0687	fabG	3-ketoacyl-(acyl-carrier-protein) reductase 	15	0	0	15	0	0.4000	99.0	NE
Rv0688	-	PUTATIVE FERREDOXIN REDUCTASE 	17	0	0	17	0	0.5882	149.2	NE
Rv0689c	-	hypothetical protein Rv0689c 	3	0	0	3	0	0.6667	86.5	NE
Rv0690c	-	hypothetical protein Rv0690c 	17	0	0	17	0	0.7647	197.1	NE
Rv0691c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	0	0	9	0	0.6667	138.5	NE
Rv0692	-	hypothetical protein Rv0692 	6	0	0	6	0	0.8333	117.4	NE
Rv0693	pqqE	PROBABLE COENZYME PQQ SYNTHESIS PROTEIN E PQQE (COENZYME PQQ SYNTHESIS PROTEIN III) 	17	0	0	17	0	0.5294	81.4	NE
Rv0694	lldD1	POSSIBLE L-LACTATE DEHYDROGENASE (CYTOCHROME) LLDD1 	16	0	0	16	0	0.4375	210.0	NE
Rv0695	-	hypothetical protein Rv0695 	10	0	0	10	0	0.7000	201.1	NE
Rv0696	-	PROBABLE MEMBRANE SUGAR TRANSFERASE 	23	0	0	23	0	0.4783	454.2	NE
Rv0697	-	PROBABLE DEHYDROGENASE 	25	11	0	14	0	0.1600	130.8	ES
Rv0698	-	hypothetical protein Rv0698 	11	0	0	11	0	0.3636	51.5	NE
Rv0699	-	hypothetical protein Rv0699 	2	0	0	2	0	1.0000	107.0	NE
Rv0700	rpsJ	30S ribosomal protein S10 	6	0	0	6	0	0.0000	0.0	NE
Rv0701	rplC	50S ribosomal protein L3 	15	15	0	0	0	0.0000	0.0	ES
Rv0702	rplD	50S ribosomal protein L4 	11	11	0	0	0	0.0000	0.0	ES
Rv0703	rplW	50S ribosomal protein L23 	4	4	0	0	0	0.0000	0.0	ES
Rv0704	rplB	50S ribosomal protein L2 	16	16	0	0	0	0.0000	0.0	ES
Rv0705	rpsS	30S ribosomal protein S19 	2	2	0	0	0	0.0000	0.0	ES
Rv0706	rplV	50S ribosomal protein L22 	4	4	0	0	0	0.0000	0.0	ES
Rv0707	rpsC	30S ribosomal protein S3 	14	14	0	0	0	0.0000	0.0	ES
Rv0708	rplP	50S ribosomal protein L16 	8	8	0	0	0	0.0000	0.0	ES
Rv0709	rpmC	50S ribosomal protein L29 	4	4	0	0	0	0.0000	0.0	ES
Rv0710	rpsQ	30S ribosomal protein S17 	9	9	0	0	0	0.0000	0.0	ES
Rv0711	atsA	POSSIBLE ARYLSULFATASE ATSA (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE) 	42	0	0	42	0	0.7857	200.5	NE
Rv0712	-	hypothetical protein Rv0712 	18	0	0	18	0	0.5000	87.8	NE
Rv0713	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	16	0	0	16	0	0.6875	359.1	NE
Rv0714	rplN	50S ribosomal protein L14 	4	4	0	0	0	0.0000	0.0	ES
Rv0715	rplX	50S ribosomal protein L24 	5	5	0	0	0	0.0000	0.0	ES
Rv0716	rplE	50S ribosomal protein L5 	4	4	0	0	0	0.0000	0.0	ES
Rv0717	rpsN	30S ribosomal protein S14 	2	2	0	0	0	0.0000	0.0	ES
Rv0718	rpsH	30S ribosomal protein S8 	9	9	0	0	0	0.0000	0.0	ES
Rv0719	rplF	50S ribosomal protein L6 	12	12	0	0	0	0.0000	0.0	ES
Rv0720	rplR	50S ribosomal protein L18 	4	4	0	0	0	0.0000	0.0	ES
Rv0721	rpsE	30S ribosomal protein S5 	9	9	0	0	0	0.0000	0.0	ES
Rv0722	rpmD	50S ribosomal protein L30 	1	0	0	1	0	1.0000	36.0	NE
Rv0723	rplO	50S ribosomal protein L15 	2	0	0	2	0	0.0000	0.0	NE
Rv0724	sppA	POSSIBLE PROTEASE IV SPPA (ENDOPEPTIDASE IV) (SIGNAL PEPTIDE PEPTIDASE) 	28	0	0	28	0	0.6786	161.4	NE
Rv0724A	-	hypothetical protein Rv0724A 	5	0	0	5	0	0.8000	281.0	NE
Rv0725c	-	hypothetical protein Rv0725c 	14	0	0	14	0	0.6429	234.3	NE
Rv0726c	-	hypothetical protein Rv0726c 	14	0	0	14	0	0.6429	116.8	NE
Rv0727c	fucA	L-fuculose-phosphate aldolase 	10	0	0	10	0	0.8000	331.2	NE
Rv0728c	serA2	POSSIBLE D-3-PHOSPHOGLYCERATE DEHYDROGENASE SERA2 (PHOSPHOGLYCERATE DEHYDROGENASE) (PGDH) 	8	0	0	8	0	0.5000	201.5	NE
Rv0729	xylB	POSSIBLE D-XYLULOSE KINASE XYLB (XYLULOKINASE) (XYLULOSE KINASE) 	17	0	0	17	0	0.7647	604.8	NE
Rv0730	-	hypothetical protein Rv0730 	1	0	0	1	0	0.0000	0.0	NE
Rv0731c	-	hypothetical protein Rv0731c 	9	0	0	9	0	0.7778	425.7	NE
Rv0732	secY	preprotein translocase subunit SecY 	26	26	0	0	0	0.0000	0.0	ES
Rv0733	adk	adenylate kinase 	5	0	0	5	0	0.0000	0.0	NE
Rv0734	mapA	methionine aminopeptidase 	8	0	0	8	0	0.6250	78.8	NE
Rv0735	sigL	RNA polymerase sigma factor SigL 	6	0	0	6	0	1.0000	431.8	NE
Rv0736	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	6	0	0	6	0	0.0000	0.0	NE
Rv0737	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	4	0	0	4	0	0.7500	55.0	NE
Rv0738	-	hypothetical protein Rv0738 	1	0	0	1	0	1.0000	9.0	NE
Rv0739	-	hypothetical protein Rv0739 	17	0	0	17	0	0.8824	406.2	NE
Rv0740	-	hypothetical protein Rv0740 	7	0	0	7	0	0.4286	203.7	NE
Rv0741	-	PROBABLE TRANSPOSASE (FRAGMENT) 	3	0	0	3	0	0.6667	121.0	NE
Rv0742	PE_PGRS8	PE-PGRS FAMILY PROTEIN 	5	0	0	5	0	0.6000	128.3	NE
Rv0743c	-	hypothetical protein Rv0743c 	8	0	0	8	0	0.8750	497.3	NE
Rv0744c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	0	0	9	0	0.4444	110.5	NE
Rv0745	-	hypothetical protein Rv0745 	7	0	0	7	0	0.8571	213.8	NE
Rv0746	PE_PGRS9	PE-PGRS FAMILY PROTEIN 	14	0	0	14	0	0.5000	184.1	NE
Rv0747	PE_PGRS10	PE-PGRS FAMILY PROTEIN 	12	0	0	12	0	0.6667	384.1	NE
Rv0748	-	hypothetical protein Rv0748 	2	0	0	2	0	1.0000	249.5	NE
Rv0749	-	hypothetical protein Rv0749 	3	0	0	3	0	1.0000	333.0	NE
Rv0749A	-	hypothetical protein Rv0749A 	1	0	0	1	0	1.0000	91.0	NE
Rv0750	-	hypothetical protein Rv0750 	1	0	0	1	0	0.0000	0.0	NE
Rv0751c	mmsB	PROBABLE 3-HYDROXYISOBUTYRATE DEHYDROGENASE MMSB (HIBADH) 	6	0	0	6	0	0.6667	89.2	NE
Rv0752c	fadE9	PROBABLE ACYL-CoA DEHYDROGENASE FADE9 	14	0	0	14	0	0.6429	164.1	NE
Rv0753c	mmsA	PROBABLE METHYLMALONATE-SEMIALDEHYDE DEHYDROGENASE MMSA (METHYLMALONIC ACID SEMIALDEHYDE DEHYDROGENASE) (MMSDH) 	18	0	0	18	0	0.7778	167.1	NE
Rv0754	PE_PGRS11	PE-PGRS FAMILY PROTEIN 	27	0	0	27	0	0.6667	471.1	NE
Rv0755A	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	5	0	0	5	0	0.8000	178.2	NE
Rv0755c	PPE12	PPE FAMILY PROTEIN 	50	18	0	32	0	0.2200	219.5	ES
Rv0756c	-	hypothetical protein Rv0756c 	6	0	0	6	0	1.0000	410.0	NE
Rv0757	phoP	POSSIBLE TWO COMPONENT SYSTEM RESPONSE TRANSCRIPTIONAL POSITIVE REGULATOR PHOP 	10	0	0	10	0	0.1000	113.0	NE
Rv0758	phoR	POSSIBLE TWO COMPONENT SYSTEM RESPONSE SENSOR KINASE MEMBRANE ASSOCIATED PHOR 	16	0	0	16	0	0.6250	51.3	NE
Rv0759c	-	hypothetical protein Rv0759c 	2	0	0	2	0	0.0000	0.0	NE
Rv0760c	-	hypothetical protein Rv0760c 	5	0	0	5	0	0.8000	75.0	NE
Rv0761c	adhB	POSSIBLE ZINC-CONTAINING ALCOHOL DEHYDROGENASE NAD DEPENDENT ADHB 	12	0	0	12	0	0.6667	429.9	NE
Rv0762c	-	hypothetical protein Rv0762c 	12	0	0	12	0	0.8333	106.3	NE
Rv0763c	-	POSSIBLE FERREDOXIN 	1	0	0	1	0	1.0000	1.0	NE
Rv0764c	cyp51	CYTOCHROME P450 51 CYP51 (CYPL1) (P450-L1A1) (STEROL 14-ALPHA DEMETHYLASE) (LANOSTEROL 14-ALPHA DEMETHYLASE) (P450-14DM) 	16	0	0	16	0	0.6875	121.4	NE
Rv0765c	-	short chain dehydrogenase 	9	0	0	9	0	0.5556	149.4	NE
Rv0766c	cyp123	PROBABLE CYTOCHROME P450 123 CYP123 	23	0	0	23	0	0.5217	77.0	NE
Rv0767c	-	hypothetical protein Rv0767c 	11	0	0	11	0	0.7273	472.4	NE
Rv0768	aldA	PROBABLE ALDEHYDE DEHYDROGENASE NAD DEPENDENT ALDA (ALDEHYDE DEHYDROGENASE 	22	0	0	22	0	0.4545	92.1	NE
Rv0769	-	short chain dehydrogenase 	16	0	0	16	0	0.6875	126.4	NE
Rv0770	-	PROBABLE DEHYDROGENASE/REDUCTASE 	7	0	0	7	0	0.8571	75.3	NE
Rv0771	-	POSSIBLE 4-CARBOXYMUCONOLACTONE DECARBOXYLASE (CMD) 	9	0	0	9	0	0.5556	110.4	NE
Rv0772	purD	phosphoribosylamine--glycine ligase 	20	20	0	0	0	0.0000	0.0	ES
Rv0773c	ggtA	PROBABLE BIFUNCTIONAL ACYLASE GGTA: CEPHALOSPORIN ACYLASE (GL-7ACA ACYLASE) + GAMMA-GLUTAMYLTRANSPEPTIDASE (GGT) 	19	3	0	16	0	0.5789	117.0	NE
Rv0774c	-	PROBABLE CONSERVED EXPORTED PROTEIN 	9	0	0	9	0	0.5556	123.6	NE
Rv0775	-	hypothetical protein Rv0775 	9	0	0	9	0	1.0000	413.8	NE
Rv0776c	-	hypothetical protein Rv0776c 	14	0	0	14	0	0.8571	293.8	NE
Rv0777	purB	adenylosuccinate lyase 	14	14	0	0	0	0.0000	0.0	ES
Rv0778	cyp126	POSSIBLE CYTOCHROME P450 126 CYP126 	17	0	0	17	0	0.6471	192.4	NE
Rv0779c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	6	0	0	6	0	0.5000	67.7	NE
Rv0780	hemH	phosphoribosylaminoimidazole-succinocarboxamide synthase 	23	23	0	0	0	0.0000	0.0	ES
Rv0781	ptrBa	PROBABLE PROTEASE II PTRBA 	24	0	19	5	0	0.2083	64.8	GD
Rv0782	ptrBb	PROBABLE PROTEASE II PTRBB 	38	0	0	38	0	0.3947	125.5	NE
Rv0783c	emrB	POSSIBLE MULTIDRUG RESISTANCE INTEGRAL MEMBRANE EFFLUX PROTEIN EMRB 	23	0	0	23	0	0.4348	179.3	NE
Rv0784	-	hypothetical protein Rv0784 	8	0	0	8	0	0.5000	23.5	NE
Rv0785	-	putative FAD-binding dehydrogenase 	30	0	0	30	0	0.5333	210.8	NE
Rv0786c	-	hypothetical protein Rv0786c 	11	0	0	11	0	0.4545	231.4	NE
Rv0787	-	hypothetical protein Rv0787 	14	0	0	14	0	0.9286	299.5	NE
Rv0787A	-	phosphoribosylformylglycinamidine synthase subunit PurS 	2	2	0	0	0	0.0000	0.0	ES
Rv0788	purQ	phosphoribosylformylglycinamidine synthase subunit I 	11	11	0	0	0	0.0000	0.0	ES
Rv0789c	-	hypothetical protein Rv0789c 	7	0	0	7	0	0.8571	99.2	NE
Rv0790c	-	hypothetical protein Rv0790c 	20	0	0	20	0	0.6500	385.8	NE
Rv0791c	-	hypothetical protein Rv0791c 	12	0	0	12	0	0.7500	178.3	NE
Rv0792c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	17	0	0	17	0	0.7059	201.5	NE
Rv0793	-	hypothetical protein Rv0793 	8	0	0	8	0	0.7500	232.5	NE
Rv0794c	-	PROBABLE OXIDOREDUCTASE 	15	0	0	15	0	0.5333	247.1	NE
Rv0795	-	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 (FRAGMENT) 	0	0	0	0	0	nan	0.0	N/A
Rv0796	-	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS6110 	1	0	0	1	0	0.0000	0.0	NE
Rv0797	-	IS1547 transposase 	0	0	0	0	0	nan	0.0	N/A
Rv0798c	cfp29	29 KDa ANTIGEN CFP29 	14	0	0	14	0	0.2857	75.8	NE
Rv0799c	-	hypothetical protein Rv0799c 	9	0	0	9	0	0.3333	147.7	NE
Rv0800	pepC	putative aminopeptidase 2 	13	0	0	13	0	0.7692	219.1	NE
Rv0801	-	hypothetical protein Rv0801 	0	0	0	0	0	nan	0.0	N/A
Rv0802c	-	hypothetical protein Rv0802c 	15	0	0	15	0	0.4667	92.1	NE
Rv0803	purL	phosphoribosylformylglycinamidine synthase II 	32	32	0	0	0	0.0000	0.0	ES
Rv0804	-	hypothetical protein Rv0804 	6	1	0	5	0	0.6667	469.8	NE
Rv0805	-	hypothetical protein Rv0805 	15	0	0	15	0	0.6667	86.9	NE
Rv0806c	cpsY	POSSIBLE UDP-GLUCOSE-4-EPIMERASE CPSY (GALACTOWALDENASE) (UDP-GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE-4-EPIMERASE) 	41	0	0	41	0	0.7561	377.4	NE
Rv0807	-	hypothetical protein Rv0807 	2	0	0	2	0	0.5000	182.0	NE
Rv0808	purF	amidophosphoribosyltransferase 	25	25	0	0	0	0.0000	0.0	ES
Rv0809	purM	phosphoribosylaminoimidazole synthetase 	11	11	0	0	0	0.0000	0.0	ES
Rv0810c	-	hypothetical protein Rv0810c 	4	0	0	4	0	0.0000	0.0	NE
Rv0811c	-	hypothetical protein Rv0811c 	15	15	0	0	0	0.0000	0.0	ES
Rv0812	-	4-amino-4-deoxychorismate lyase 	15	15	0	0	0	0.0000	0.0	ES
Rv0813c	-	hypothetical protein Rv0813c 	13	0	0	13	0	1.0000	265.5	NE
Rv0814c	sseC2	CONSERVED HYPOTHETICAL PROTEIN SSEC2 	0	0	0	0	0	nan	0.0	N/A
Rv0815c	cysA2	PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA2 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE) 	4	0	0	4	0	0.7500	136.3	NE
Rv0816c	thiX	PROBABLE THIOREDOXIN THIX 	3	0	0	3	0	1.0000	96.7	NE
Rv0817c	-	PROBABLE CONSERVED EXPORTED PROTEIN 	14	14	0	0	0	0.0000	0.0	ES
Rv0818	-	TRANSCRIPTIONAL REGULATORY PROTEIN 	8	0	0	8	0	0.8750	364.6	NE
Rv0819	-	hypothetical protein Rv0819 	10	10	0	0	0	0.0000	0.0	ES
Rv0820	phoT	PROBABLE PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PHOT 	10	0	0	10	0	0.9000	434.6	NE
Rv0821c	phoY2	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOY2 	5	0	0	5	0	0.4000	176.0	NE
Rv0822c	-	hypothetical protein Rv0822c 	27	0	0	27	0	0.8148	263.8	NE
Rv0823c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	17	0	0	17	0	0.7059	320.5	NE
Rv0824c	desA1	PROBABLE ACYL-	18	18	0	0	0	0.0000	0.0	ES
Rv0825c	-	hypothetical protein Rv0825c 	10	0	0	10	0	0.8000	299.0	NE
Rv0826	-	hypothetical protein Rv0826 	18	0	0	18	0	0.8333	311.4	NE
Rv0827c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	3	0	0	3	0	1.0000	34.0	NE
Rv0828c	-	POSSIBLE DEAMINASE 	10	0	0	10	0	1.0000	425.2	NE
Rv0829	-	POSSIBLE TRANSPOSASE (FRAGMENT) 	1	0	0	1	0	1.0000	110.0	NE
Rv0830	-	hypothetical protein Rv0830 	18	0	0	18	0	0.8333	349.3	NE
Rv0831c	-	hypothetical protein Rv0831c 	18	0	0	18	0	0.8333	132.0	NE
Rv0832	PE_PGRS12	PE-PGRS FAMILY PROTEIN 	3	0	0	3	0	0.6667	253.0	NE
Rv0833	PE_PGRS13	PE-PGRS FAMILY PROTEIN 	11	0	0	11	0	0.2727	41.3	NE
Rv0834c	PE_PGRS14	PE-PGRS FAMILY PROTEIN 	24	0	0	24	0	0.7500	250.1	NE
Rv0835	lpqQ	POSSIBLE LIPOPROTEIN LPQQ 	14	0	0	14	0	0.7857	325.8	NE
Rv0836c	-	hypothetical protein Rv0836c 	8	0	0	8	0	0.8750	389.4	NE
Rv0837c	-	hypothetical protein Rv0837c 	22	0	0	22	0	0.8182	250.3	NE
Rv0838	lpqR	PROBABLE CONSERVED LIPOPROTEIN LPQR 	7	0	0	7	0	0.7143	287.4	NE
Rv0839	-	hypothetical protein Rv0839 	10	0	0	10	0	0.9000	255.7	NE
Rv0840c	pip	PROBABLE PROLINE IMINOPEPTIDASE PIP (PROLYL AMINOPEPTIDASE) (PAP) 	8	0	0	8	0	0.7500	336.3	NE
Rv0841	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	0	0	3	0	0.6667	78.0	NE
Rv0842	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	21	0	0	21	0	0.6190	121.4	NE
Rv0843	-	PROBABLE DEHYDROGENASE 	17	0	0	17	0	0.7647	230.0	NE
Rv0844c	narL	POSSIBLE NITRATE/NITRITE RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN NARL 	9	0	0	9	0	0.8889	357.6	NE
Rv0845	-	POSSIBLE TWO COMPONENT SENSOR KINASE 	23	0	0	23	0	0.6522	95.3	NE
Rv0846c	-	PROBABLE OXIDASE 	28	0	0	28	0	0.6071	160.4	NE
Rv0847	lpqS	PROBABLE LIPOPROTEIN LPQS 	6	0	0	6	0	0.6667	130.0	NE
Rv0848	cysK2	POSSIBLE CYSTEINE SYNTHASE A CYSK2 (O-ACETYLSERINE SULFHYDRYLASE) (O-ACETYLSERINE (THIOL)-LYASE) (CSASE) 	26	0	0	26	0	0.6538	145.3	NE
Rv0849	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	21	0	0	21	0	0.7619	242.8	NE
Rv0850	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	9	0	0	9	0	0.7778	201.1	NE
Rv0851c	-	short chain dehydrogenase 	9	0	0	9	0	0.8889	195.6	NE
Rv0852	fadD16	POSSIBLE FATTY-ACID-CoA LIGASE FADD16 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	13	0	0	13	0	0.6154	197.0	NE
Rv0853c	pdc	PROBABLE PYRUVATE OR INDOLE-3-PYRUVATE DECARBOXYLASE PDC 	23	0	0	23	0	0.5217	244.6	NE
Rv0854	-	hypothetical protein Rv0854 	6	0	0	6	0	0.8333	242.2	NE
Rv0855	far	PROBABLE FATTY-ACID-CoA RACEMASE FAR 	12	0	0	12	0	0.7500	240.7	NE
Rv0856	-	hypothetical protein Rv0856 	5	0	0	5	0	0.6000	387.0	NE
Rv0857	-	hypothetical protein Rv0857 	6	0	0	6	0	0.6667	219.5	NE
Rv0858c	-	aminotransferase 	19	0	0	19	0	0.7368	183.7	NE
Rv0859	fadA	acetyl-CoA acetyltransferase 	7	0	0	7	0	0.4286	124.7	NE
Rv0860	fadB	PROBABLE FATTY OXIDATION PROTEIN FADB 	21	0	0	21	0	0.2381	78.6	NE
Rv0861c	ercc3	PROBABLE DNA HELICASE ERCC3 	22	0	0	22	0	0.5455	111.5	NE
Rv0862c	-	hypothetical protein Rv0862c 	27	0	0	27	0	0.4444	178.7	NE
Rv0863	-	hypothetical protein Rv0863 	6	0	0	6	0	0.8333	201.2	NE
Rv0864	moaC	molybdenum cofactor biosynthesis protein C 	11	0	0	11	0	0.9091	223.1	NE
Rv0865	mog	PROBABLE MOLYBDOPTERIN BIOSYNTHESIS MOG PROTEIN 	8	0	0	8	0	0.6250	661.4	NE
Rv0866	moaE2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN E2 MOAE2 (MOLYBDOPTERIN CONVERTING FACTOR LARGE SUBUNIT) (MOLYBDOPTERIN 	3	0	0	3	0	1.0000	288.0	NE
Rv0867c	rpfA	POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA 	8	0	0	8	0	0.8750	138.6	NE
Rv0868c	moaD2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN D 2 MOAD2 (MOLYBDOPTERIN CONVERTING FACTOR SMALL SUBUNIT) (MOLYBDOPTERIN 	6	0	0	6	0	0.8333	651.6	NE
Rv0869c	moaA	molybdenum cofactor biosynthesis protein A 	14	0	0	14	0	0.7857	411.2	NE
Rv0870c	-	hypothetical protein Rv0870c 	4	0	0	4	0	1.0000	182.8	NE
Rv0871	cspB	PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB 	4	0	0	4	0	0.7500	341.3	NE
Rv0872c	PE_PGRS15	PE-PGRS FAMILY PROTEIN 	25	0	0	25	0	0.7600	167.6	NE
Rv0873	fadE10	PROBABLE ACYL-CoA DEHYDROGENASE FADE10 	33	0	0	33	0	0.7576	325.2	NE
Rv0874c	-	hypothetical protein Rv0874c 	9	0	0	9	0	0.6667	561.8	NE
Rv0875c	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	11	0	0	11	0	0.0909	12.0	NE
Rv0876c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	24	0	0	24	0	0.5000	140.9	NE
Rv0877	-	hypothetical protein Rv0877 	15	0	0	15	0	0.8000	520.8	NE
Rv0878c	PPE13	PPE FAMILY PROTEIN 	15	0	0	15	0	1.0000	219.5	NE
Rv0879c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	3	0	0	3	0	0.6667	38.0	NE
Rv0880	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY) 	1	0	0	1	0	0.0000	0.0	NE
Rv0881	-	POSSIBLE RRNA METHYLTRANSFERASE (RRNA METHYLASE) 	14	0	0	14	0	0.7143	236.6	NE
Rv0882	-	PROBABLE TRANSMEMBRANE PROTEIN 	1	0	0	1	0	1.0000	252.0	NE
