#Resampling
#Command: python ignoreNTerm=5.0 ctrlString=/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig pubmsg=<bound method Publisher.sendMessage of <wx.lib.pubsub.core.publisher.Publisher instance at 0x3984290>> expString=/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig ignoreCodon=True annotationPath=/pacific/home/mdejesus/transit/H37Rv.prot_table ignoreCTerm=5.0 histPath=/pacific/home/mdejesus/transit/testNC/resampling_results sampleSize=10000 doAdaptive=False output=<open file u'/pacific/home/mdejesus/transit/testNC/resampling_results.dat', mode 'w' at 0x41d4c90> doNormalize=True wx=<module 'wx' from '/usr/lib/python2.7/dist-packages/wx/__init__.pyc'>
#Control Samples:  /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig
#Experimental Samples:  /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig
#Normalization factors: 1.0946	0.8477	1.1728	1.1715	0.8330
#Orf	%Name	Description	N	TAs Hit	Avg Rd 1	Avg Rd 2	Delta Rd	p-value	p-adj
Rv0507	mmpL2	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL2 	79	43	6783.8	14567.7	7783.9	0.24120	1.00000
Rv0508	-	hypothetical protein Rv0508 	6	4	1535.8	1437.9	-97.9	0.91960	1.00000
Rv0509	hemA	glutamyl-tRNA reductase 	19	0	0.0	0.0	0.0	1.00000	1.00000
Rv0510	hemC	porphobilinogen deaminase 	10	0	0.0	0.0	0.0	1.00000	1.00000
Rv0511	hemD	PROBABLE UROPORPHYRIN-III C-METHYLTRANSFERASE HEMD (UROPORPHYRINOGEN III METHYLASE) (UROGEN III METHYLASE) (SUMT) (UROGEN III METHYLASE) (UROM) 	16	0	0.0	0.0	0.0	1.00000	1.00000
Rv0512	hemB	delta-aminolevulinic acid dehydratase 	18	0	0.0	0.0	0.0	1.00000	1.00000
Rv0513	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	6	4	1260.7	1086.6	-174.1	0.83860	1.00000
Rv0514	-	POSSIBLE TRANSMEMBRANE PROTEIN 	1	1	1032.3	767.4	-264.9	0.58940	1.00000
Rv0515	-	CONSERVED 13E12 REPEAT FAMILY PROTEIN 	1	0	0.0	0.0	0.0	1.00000	1.00000
Rv0516c	-	hypothetical protein Rv0516c 	7	7	1287.6	2045.5	757.9	0.55830	1.00000
Rv0517	-	POSSIBLE MEMBRANE ACYLTRANSFERASE 	17	17	7189.0	11197.3	4008.4	0.44310	1.00000
Rv0518	-	POSSIBLE EXPORTED PROTEIN 	10	9	1189.8	1247.2	57.4	0.94740	1.00000
Rv0519c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	8	7	2649.2	2552.0	-97.3	0.95530	1.00000
Rv0520	-	POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT) 	4	4	773.3	1195.8	422.5	0.50880	1.00000
Rv0521	-	POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT) 	4	4	1011.4	846.8	-164.6	0.79300	1.00000
Rv0522	gabP	PROBABLE GABA PERMEASE GABP (4-AMINO BUTYRATE TRANSPORT CARRIER) (GAMA-AMINOBUTYRATE PERMEASE) 	19	16	4283.2	4134.2	-149.0	0.96400	1.00000
Rv0523c	-	hypothetical protein Rv0523c 	8	7	2189.3	2018.0	-171.3	0.91740	1.00000
Rv0524	hemL	glutamate-1-semialdehyde aminotransferase 	20	0	0.0	0.0	0.0	1.00000	1.00000
Rv0525	-	hypothetical protein Rv0525 	9	0	0.0	0.0	0.0	1.00000	1.00000
Rv0526	-	POSSIBLE THIOREDOXIN PROTEIN (THIOL-DISULFIDE INTERCHANGE PROTEIN) 	7	0	0.0	0.0	0.0	1.00000	1.00000
Rv0527	ccdA	POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0528	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	15	0	0.0	0.0	0.0	1.00000	1.00000
Rv0529	ccsA	POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCSA 	15	0	0.0	0.0	0.0	1.00000	1.00000
Rv0530	-	hypothetical protein Rv0530 	16	14	4140.7	2992.4	-1148.3	0.62250	1.00000
Rv0531	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	3	1	5.0	45.7	40.8	1.00000	1.00000
Rv0532	PE_PGRS6	PE-PGRS FAMILY PROTEIN 	14	9	1238.1	1626.7	388.6	0.66340	1.00000
Rv0533c	fabH	3-oxoacyl-(acyl carrier protein) synthase III 	14	11	2561.1	3623.9	1062.8	0.59530	1.00000
Rv0534c	menA	1,4-dihydroxy-2-naphthoate octaprenyltransferase 	11	0	0.0	0.0	0.0	1.00000	1.00000
Rv0535	pnp	5'-methylthioadenosine phosphorylase 	9	6	1548.9	2847.3	1298.4	0.37980	1.00000
Rv0536	galE3	PROBABLE UDP-GLUCOSE 4-EPIMERASE GALE3 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE) 	12	10	2354.9	3785.4	1430.5	0.50520	1.00000
Rv0537c	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	18	15	4861.4	4364.9	-496.5	0.89580	1.00000
Rv0538	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	14	13	4051.3	2498.7	-1552.6	0.41950	1.00000
Rv0539	-	PROBABLE DOLICHYL-PHOSPHATE SUGAR SYNTHASE (DOLICHOL-PHOSPHATE SUGAR SYNTHETASE) (DOLICHOL-PHOSPHATE SUGAR TRANSFERASE) (SUGAR PHOSPHORYLDOLICHOL SYNTHASE) 	6	3	277.2	460.2	183.0	0.41710	1.00000
Rv0540	-	hypothetical protein Rv0540 	10	6	704.6	1662.8	958.2	0.20630	1.00000
Rv0541c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	0	0.0	0.0	0.0	1.00000	1.00000
Rv0542c	menE	O-succinylbenzoic acid--CoA ligase 	14	0	0.0	0.0	0.0	1.00000	1.00000
Rv0543c	-	hypothetical protein Rv0543c 	2	0	0.0	0.0	0.0	1.00000	1.00000
Rv0544c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	6	5	1621.2	508.6	-1112.6	0.19020	1.00000
Rv0545c	pitA	PROBABLE LOW-AFFINITY INORGANIC PHOSPHATE TRANSPORTER INTEGRAL MEMBRANE PROTEIN PITA 	14	10	1238.8	1542.5	303.7	0.74460	1.00000
Rv0546c	-	hypothetical protein Rv0546c 	7	6	2674.6	2954.2	279.6	0.89610	1.00000
Rv0547c	-	short chain dehydrogenase 	10	7	1453.9	5248.1	3794.2	0.02340	0.97899
Rv0548c	menB	naphthoate synthase 	10	0	0.0	0.0	0.0	1.00000	1.00000
Rv0549c	-	hypothetical protein Rv0549c 	4	4	592.6	365.8	-226.8	0.50920	1.00000
Rv0550c	-	hypothetical protein Rv0550c 	3	1	1288.3	1031.4	-257.0	0.89490	1.00000
Rv0551c	fadD8	acyl-CoA synthetase 	28	25	5652.0	5592.4	-59.7	0.99470	1.00000
Rv0552	-	hypothetical protein Rv0552 	18	14	2075.1	2794.1	719.0	0.64210	1.00000
Rv0553	menC	O-succinylbenzoate synthase 	7	0	0.0	0.0	0.0	1.00000	1.00000
Rv0554	bpoC	POSSIBLE PEROXIDASE BPOC (NON-HAEM PEROXIDASE) 	13	12	6327.7	7616.8	1289.1	0.78240	1.00000
Rv0555	menD	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase 	15	0	0.0	0.0	0.0	1.00000	1.00000
Rv0556	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	12	1	0.0	3.5	3.5	1.00000	1.00000
Rv0557	pimB	MANNOSYLTRANSFERASE PIMB 	13	5	314.6	623.1	308.4	0.37550	1.00000
Rv0558	ubiE	ubiquinone/menaquinone biosynthesis methyltransferase 	13	0	0.0	0.0	0.0	1.00000	1.00000
Rv0559c	-	POSSIBLE CONSERVED SECRETED PROTEIN 	6	6	967.0	1337.5	370.4	0.60600	1.00000
Rv0560c	-	POSSIBLE BENZOQUINONE METHYLTRANSFERASE (METHYLASE) 	12	11	1469.9	1486.3	16.4	0.98650	1.00000
Rv0561c	-	POSSIBLE OXIDOREDUCTASE 	18	14	2236.2	2751.6	515.4	0.73960	1.00000
Rv0562	grcC1	PROBABLE POLYPRENYL-DIPHOSPHATE SYNTHASE GRCC1 (POLYPRENYL PYROPHOSPHATE SYNTHETASE) 	13	0	0.0	0.0	0.0	1.00000	1.00000
Rv0563	htpX	heat shock protein HtpX 	11	1	98.4	57.5	-40.9	0.89960	1.00000
Rv0564c	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase 	11	9	1849.2	2824.9	975.6	0.49290	1.00000
Rv0565c	-	PROBABLE MONOOXYGENASE 	34	26	6661.7	8599.4	1937.6	0.78000	1.00000
Rv0566c	-	nucleotide-binding protein 	4	2	269.8	585.5	315.7	0.27930	1.00000
Rv0567	-	PROBABLE METHYLTRANSFERASE/METHYLASE 	16	13	4360.5	4057.1	-303.3	0.91950	1.00000
Rv0568	cyp135B1	POSSIBLE CYTOCHROME P450 135B1 CYP135B1 	12	9	2696.7	1757.7	-939.1	0.52050	1.00000
Rv0569	-	hypothetical protein Rv0569 	3	3	2056.8	1909.9	-146.9	0.91360	1.00000
Rv0570	nrdZ	PROBABLE RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (LARGE SUBUNIT) NRDZ (RIBONUCLEOTIDE REDUCTASE) 	34	26	4314.6	3089.6	-1225.0	0.59780	1.00000
Rv0571c	-	hypothetical protein Rv0571c 	12	10	1246.3	1153.6	-92.7	0.91570	1.00000
Rv0572c	-	hypothetical protein Rv0572c 	7	7	2447.0	1692.5	-754.5	0.64300	1.00000
Rv0573c	-	nicotinate phosphoribosyltransferase 	14	10	1341.8	2275.6	933.8	0.35100	1.00000
Rv0574c	-	hypothetical protein Rv0574c 	19	14	3036.1	5133.1	2097.0	0.34840	1.00000
Rv0575c	-	hypothetical protein Rv0575c 	11	9	2444.1	2406.1	-38.0	0.97930	1.00000
Rv0576	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY ARSR-FAMILY) 	18	13	559.3	1201.4	642.1	0.21940	1.00000
Rv0577	TB27.3	hypothetical protein Rv0577 	12	10	1595.8	2560.8	965.0	0.48850	1.00000
Rv0578c	PE_PGRS7	PE-PGRS FAMILY PROTEIN 	23	11	1199.3	962.9	-236.4	0.73030	1.00000
Rv0579	-	hypothetical protein Rv0579 	11	8	1138.5	1052.5	-85.9	0.88850	1.00000
Rv0580c	-	hypothetical protein Rv0580c 	7	5	1197.5	1073.4	-124.1	0.86800	1.00000
Rv0581	-	hypothetical protein Rv0581 	4	4	529.8	713.6	183.8	0.63810	1.00000
Rv0582	-	hypothetical protein Rv0582 	9	4	241.8	227.1	-14.7	0.95040	1.00000
Rv0583c	lpqN	PROBABLE CONSERVED LIPOPROTEIN LPQN 	7	7	2419.6	3009.9	590.3	0.76510	1.00000
Rv0584	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	56	45	6484.5	6496.0	11.5	0.99900	1.00000
Rv0585c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	34	18	2886.8	3228.9	342.1	0.86270	1.00000
Rv0586	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (GNTR-FAMILY) 	10	6	231.1	537.4	306.3	0.24380	1.00000
Rv0587	yrbE2A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE2A 	11	5	772.1	514.0	-258.1	0.56470	1.00000
Rv0588	yrbE2B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE2B 	13	9	513.3	481.4	-32.0	0.93100	1.00000
Rv0589	mce2A	MCE-FAMILY PROTEIN MCE2A 	23	13	1477.9	1137.6	-340.2	0.68520	1.00000
Rv0590	mce2B	MCE-FAMILY PROTEIN MCE2B 	9	8	694.8	803.5	108.7	0.84670	1.00000
Rv0590A	-	MCE-FAMILY RELATED PROTEIN 	7	4	337.8	291.8	-46.0	0.85540	1.00000
Rv0591	mce2C	MCE-FAMILY PROTEIN MCE2C 	21	20	2321.2	2489.7	168.5	0.92190	1.00000
Rv0592	mce2D	MCE-FAMILY PROTEIN MCE2D 	27	19	1806.2	1621.0	-185.1	0.87020	1.00000
Rv0593	lprL	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRL (MCE-FAMILY LIPOPROTEIN MCE2E) 	17	14	2657.5	4170.1	1512.6	0.47160	1.00000
Rv0594	mce2F	MCE-FAMILY PROTEIN MCE2F 	28	25	7640.4	15301.3	7660.9	0.24510	1.00000
Rv0595c	-	hypothetical protein Rv0595c 	6	6	2101.3	2483.8	382.4	0.81390	1.00000
Rv0596c	-	hypothetical protein Rv0596c 	4	1	0.0	39.5	39.5	0.40360	1.00000
Rv0597c	-	hypothetical protein Rv0597c 	11	8	3107.5	2650.5	-457.0	0.81000	1.00000
Rv0598c	-	hypothetical protein Rv0598c 	7	5	795.6	1248.5	453.0	0.52930	1.00000
Rv0599c	-	hypothetical protein Rv0599c 	6	5	290.3	288.0	-2.3	0.99120	1.00000
Rv0600c	-	PROBABLE TWO COMPONENT SENSOR KINASE -SECOND PART 	2	1	50.0	80.9	30.8	0.60600	1.00000
Rv0601c	-	PROBABLE TWO COMPONENT SENSOR KINASE -FIRST PART 	4	3	700.1	666.4	-33.7	0.94110	1.00000
Rv0602c	tcrA	PROBABLE TWO COMPONENT DNA BINDING TRANSCRIPTIONAL REGULATORY PROTEIN TCRA 	11	8	1186.4	646.0	-540.4	0.36460	1.00000
Rv0603	-	POSSIBLE EXPORTED PROTEIN 	1	1	13.6	0.0	-13.6	1.00000	1.00000
Rv0604	lpqO	PROBABLE CONSERVED LIPOPROTEIN LPQO 	5	4	1947.5	1036.9	-910.6	0.37790	1.00000
Rv0605	-	POSSIBLE RESOLVASE 	8	8	2327.7	3558.0	1230.2	0.49950	1.00000
Rv0606	-	POSSIBLE TRANSPOSASE (FRAGMENT) 	8	6	549.2	1199.2	650.0	0.21120	1.00000
Rv0607	-	hypothetical protein Rv0607 	1	1	33.9	65.6	31.7	0.69050	1.00000
Rv0608	-	hypothetical protein Rv0608 	2	1	187.3	198.6	11.3	0.90300	1.00000
Rv0609	-	hypothetical protein Rv0609 	7	5	1106.2	846.0	-260.1	0.75700	1.00000
Rv0609A	-	hypothetical protein Rv0609A 	2	1	286.4	72.0	-214.4	0.39750	1.00000
Rv0610c	-	hypothetical protein Rv0610c 	7	6	1614.4	810.9	-803.5	0.35690	1.00000
Rv0611c	-	hypothetical protein Rv0611c 	12	10	1782.5	2556.7	774.2	0.57710	1.00000
Rv0612	-	hypothetical protein Rv0612 	6	6	695.1	594.7	-100.4	0.81120	1.00000
Rv0613c	-	hypothetical protein Rv0613c 	16	15	6164.0	6552.1	388.1	0.93570	1.00000
Rv0614	-	hypothetical protein Rv0614 	13	11	4363.7	3812.7	-551.0	0.86840	1.00000
Rv0615	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	3	2	936.2	715.9	-220.3	0.70030	1.00000
Rv0616c	-	hypothetical protein Rv0616c 	5	3	1556.6	1005.0	-551.6	0.53920	1.00000
Rv0617	-	hypothetical protein Rv0617 	3	2	927.8	655.6	-272.2	0.57870	1.00000
Rv0618	galTa	PROBABLE GALACTOSE-1-PHOSPHATE URIDYLYLTRANSFERASE GALTA 	6	5	498.5	223.8	-274.7	0.54400	1.00000
Rv0619	galTb	PROBABLE GALACTOSE-1-PHOSPHATE URIDYLYLTRANSFERASE GALTB 	12	8	700.3	352.5	-347.8	0.32310	1.00000
Rv0620	galK	galactokinase 	7	2	368.7	19.6	-349.1	0.19580	1.00000
Rv0621	-	POSSIBLE MEMBRANE PROTEIN 	9	5	1706.1	1683.9	-22.2	0.98750	1.00000
Rv0622	-	POSSIBLE MEMBRANE PROTEIN 	11	7	328.8	724.7	396.0	0.32730	1.00000
Rv0623	-	hypothetical protein Rv0623 	2	0	0.0	0.0	0.0	1.00000	1.00000
Rv0624	-	hypothetical protein Rv0624 	6	5	951.2	766.3	-184.9	0.76050	1.00000
Rv0625c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	10	8	1601.4	12383.4	10782.0	0.16580	1.00000
Rv0626	-	hypothetical protein Rv0626 	4	3	492.1	788.4	296.2	0.59700	1.00000
Rv0627	-	hypothetical protein Rv0627 	1	0	0.0	0.0	0.0	1.00000	1.00000
Rv0628c	-	hypothetical protein Rv0628c 	3	2	813.8	2319.1	1505.3	0.20680	1.00000
Rv0629c	recD	PROBABLE EXONUCLEASE V (ALPHA CHAIN) RECD (EXODEOXYRIBONUCLEASE V ALPHA CHAIN) (EXODEOXYRIBONUCLEASE V POLYPEPTIDE) 	15	10	1856.4	1212.2	-644.2	0.51660	1.00000
Rv0630c	recB	PROBABLE EXONUCLEASE V (BETA CHAIN) RECB (EXODEOXYRIBONUCLEASE V BETA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE) (CHI-SPECIFIC ENDONUCLEASE) 	31	22	3904.2	4486.8	582.5	0.84700	1.00000
Rv0631c	recC	PROBABLE EXONUCLEASE V (GAMMA CHAIN) RECC (EXODEOXYRIBONUCLEASE V GAMMA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE) 	17	12	1975.3	1417.2	-558.0	0.64580	1.00000
Rv0632c	echA3	enoyl-CoA hydratase 	10	6	1796.0	2481.1	685.1	0.62300	1.00000
Rv0633c	-	POSSIBLE EXPORTED PROTEIN 	12	10	3747.3	5374.4	1627.0	0.59180	1.00000
Rv0634A	-	hypothetical protein Rv0634A 	6	3	300.6	417.7	117.1	0.64490	1.00000
Rv0634B	rpmG	50S ribosomal protein L33 	3	0	0.0	0.0	0.0	1.00000	1.00000
Rv0634c	-	POSSIBLE GLYOXALASE II (HYDROXYACYLGLUTATHIONE HYDROLASE) (GLX II) 	12	11	2266.8	2199.2	-67.6	0.96570	1.00000
Rv0635	-	hypothetical protein Rv0635 	14	0	0.0	0.0	0.0	1.00000	1.00000
Rv0636	-	hypothetical protein Rv0636 	6	0	0.0	0.0	0.0	1.00000	1.00000
Rv0637	-	hypothetical protein Rv0637 	6	0	0.0	0.0	0.0	1.00000	1.00000
Rv0638	secE	preprotein translocase subunit SecE 	9	0	0.0	0.0	0.0	1.00000	1.00000
Rv0639	nusG	transcription antitermination protein NusG 	11	0	0.0	0.0	0.0	1.00000	1.00000
Rv0640	rplK	50S ribosomal protein L11 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0641	rplA	50S ribosomal protein L1 	6	0	0.0	0.0	0.0	1.00000	1.00000
Rv0642c	mmaA4	METHOXY MYCOLIC ACID SYNTHASE 4 MMAA4 (METHYL MYCOLIC ACID SYNTHASE 4) (MMA4) (HYDROXY MYCOLIC ACID SYNTHASE) 	16	5	243.3	18.7	-224.6	0.19410	1.00000
Rv0643c	mmaA3	METHOXY MYCOLIC ACID SYNTHASE 3 MMAA3 (METHYL MYCOLIC ACID SYNTHASE 3) (MMA3) (HYDROXY MYCOLIC ACID SYNTHASE) 	19	17	3849.5	3277.2	-572.3	0.81080	1.00000
Rv0644c	mmaA2	METHOXY MYCOLIC ACID SYNTHASE 2 MMAA2 (METHYL MYCOLIC ACID SYNTHASE 2) (MMA2) (HYDROXY MYCOLIC ACID SYNTHASE) 	9	8	3706.1	1976.2	-1729.8	0.27670	1.00000
Rv0645c	mmaA1	METHOXY MYCOLIC ACID SYNTHASE 1 MMAA1 (METHYL MYCOLIC ACID SYNTHASE 1) (MMA1) (HYDROXY MYCOLIC ACID SYNTHASE) 	15	15	8711.1	5384.8	-3326.4	0.42070	1.00000
Rv0646c	lipG	PROBABLE LIPASE/ESTERASE LIPG 	9	9	3339.9	6251.5	2911.6	0.42740	1.00000
Rv0647c	-	hypothetical protein Rv0647c 	11	0	0.0	0.0	0.0	1.00000	1.00000
Rv0648	-	ALPHA-MANNOSIDASE 	35	28	12410.3	10313.2	-2097.1	0.80330	1.00000
Rv0649	fabD2	POSSIBLE MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE FABD2 (MCT) 	4	2	458.2	466.4	8.2	0.97390	1.00000
Rv0650	-	POSSIBLE SUGAR KINASE 	5	4	2762.8	2283.8	-479.1	0.79220	1.00000
Rv0651	rplJ	50S ribosomal protein L10 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0652	rplL	50S ribosomal protein L7/L12 	0	0	0.0	0.0	0.0	1.00000	1.00000
Rv0653c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	10	6	605.0	480.8	-124.2	0.74580	1.00000
Rv0654	-	PROBABLE DIOXYGENASE 	25	20	7906.5	8386.8	480.3	0.93570	1.00000
Rv0655	mkl	POSSIBLE RIBONUCLEOTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MKL 	11	7	1251.2	172.4	-1078.8	0.04140	1.00000
Rv0656c	-	hypothetical protein Rv0656c 	4	4	1322.7	3088.8	1766.1	0.16230	1.00000
Rv0657c	-	hypothetical protein Rv0657c 	1	1	182.0	187.0	5.0	1.00000	1.00000
Rv0658c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	14	11	1298.0	885.3	-412.6	0.58270	1.00000
Rv0659c	-	hypothetical protein Rv0659c 	4	3	1233.3	789.8	-443.6	0.55590	1.00000
Rv0660c	-	hypothetical protein Rv0660c 	2	2	459.8	122.3	-337.5	0.72830	1.00000
Rv0661c	-	hypothetical protein Rv0661c 	4	4	1184.6	965.3	-219.4	0.78180	1.00000
Rv0662c	-	hypothetical protein Rv0662c 	4	4	640.0	1122.4	482.4	0.44500	1.00000
Rv0663	atsD	POSSIBLE ARYLSULFATASE ATSD (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE) 	43	25	2464.2	5130.3	2666.1	0.10610	1.00000
Rv0664	-	hypothetical protein Rv0664 	3	2	641.5	1109.8	468.3	0.46110	1.00000
Rv0665	-	hypothetical protein Rv0665 	5	4	226.3	5185.0	4958.7	0.11760	1.00000
Rv0666	-	POSSIBLE MEMBRANE PROTEIN 	0	0	0.0	0.0	0.0	1.00000	1.00000
Rv0667	rpoB	DNA-directed RNA polymerase subunit beta 	32	0	0.0	0.0	0.0	1.00000	1.00000
Rv0668	rpoC	DNA-directed RNA polymerase subunit beta' 	35	0	0.0	0.0	0.0	1.00000	1.00000
Rv0669c	-	POSSIBLE HYDROLASE 	32	30	8951.4	73009.1	64057.7	0.21660	1.00000
Rv0670	end	endonuclease IV 	5	4	1817.2	2003.1	185.9	0.93280	1.00000
Rv0671	lpqP	POSSIBLE CONSERVED LIPOPROTEIN LPQP 	12	10	1431.4	1237.5	-194.0	0.83140	1.00000
Rv0672	fadE8	PROBABLE ACYL-CoA DEHYDROGENASE FADE8 	23	18	1636.4	2846.7	1210.2	0.31800	1.00000
Rv0673	echA4	enoyl-CoA hydratase 	8	6	1626.2	919.8	-706.4	0.52820	1.00000
Rv0674	-	hypothetical protein Rv0674 	6	2	294.0	275.4	-18.5	0.91470	1.00000
Rv0675	echA5	enoyl-CoA hydratase 	4	2	34.7	6.7	-28.0	0.46570	1.00000
Rv0676c	mmpL5	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL5 	31	25	3984.3	1780.7	-2203.6	0.11610	1.00000
Rv0677c	mmpS5	POSSIBLE CONSERVED MEMBRANE PROTEIN MMPS5 	6	5	564.9	378.3	-186.5	0.62480	1.00000
Rv0678	-	hypothetical protein Rv0678 	5	4	1664.2	1576.9	-87.3	0.93590	1.00000
Rv0679c	-	CONSERVED HYPOTHETICAL THREONINE RICH PROTEIN 	6	4	509.9	1187.8	677.9	0.22520	1.00000
Rv0680c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	3	334.3	2605.7	2271.4	0.13350	1.00000
Rv0681	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	11	9	1448.8	1616.1	167.3	0.86420	1.00000
Rv0682	rpsL	30S ribosomal protein S12 	7	0	0.0	0.0	0.0	1.00000	1.00000
Rv0683	rpsG	30S ribosomal protein S7 	4	0	0.0	0.0	0.0	1.00000	1.00000
Rv0684	fusA1	elongation factor G 	29	0	0.0	0.0	0.0	1.00000	1.00000
Rv0685	tuf	elongation factor Tu 	11	0	0.0	0.0	0.0	1.00000	1.00000
Rv0686	-	PROBABLE MEMBRANE PROTEIN 	8	8	3845.1	1913.6	-1931.5	0.41370	1.00000
Rv0687	fabG	3-ketoacyl-(acyl-carrier-protein) reductase 	15	7	555.6	801.8	246.2	0.63690	1.00000
Rv0688	-	PUTATIVE FERREDOXIN REDUCTASE 	17	11	1396.1	1416.6	20.5	0.98160	1.00000
Rv0689c	-	hypothetical protein Rv0689c 	3	2	151.1	374.2	223.1	0.40640	1.00000
Rv0690c	-	hypothetical protein Rv0690c 	17	14	2439.9	2120.8	-319.1	0.83460	1.00000
Rv0691c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	7	765.9	2632.0	1866.1	0.13030	1.00000
Rv0692	-	hypothetical protein Rv0692 	6	5	546.7	47.2	-499.5	0.13450	1.00000
Rv0693	pqqE	PROBABLE COENZYME PQQ SYNTHESIS PROTEIN E PQQE (COENZYME PQQ SYNTHESIS PROTEIN III) 	17	9	664.8	35.2	-629.6	0.00620	0.37482
Rv0694	lldD1	POSSIBLE L-LACTATE DEHYDROGENASE (CYTOCHROME) LLDD1 	16	8	1431.0	59.4	-1371.6	0.00170	0.14746
Rv0695	-	hypothetical protein Rv0695 	10	7	1311.6	166.9	-1144.7	0.08860	1.00000
Rv0696	-	PROBABLE MEMBRANE SUGAR TRANSFERASE 	23	12	4744.7	127.9	-4616.8	0.02610	1.00000
Rv0697	-	PROBABLE DEHYDROGENASE 	25	4	499.4	276.3	-223.1	0.48220	1.00000
Rv0698	-	hypothetical protein Rv0698 	11	6	185.2	180.0	-5.3	0.97700	1.00000
Rv0699	-	hypothetical protein Rv0699 	2	2	187.6	448.6	261.0	0.54220	1.00000
Rv0700	rpsJ	30S ribosomal protein S10 	6	0	0.0	0.0	0.0	1.00000	1.00000
Rv0701	rplC	50S ribosomal protein L3 	15	0	0.0	0.0	0.0	1.00000	1.00000
Rv0702	rplD	50S ribosomal protein L4 	11	0	0.0	0.0	0.0	1.00000	1.00000
Rv0703	rplW	50S ribosomal protein L23 	4	0	0.0	0.0	0.0	1.00000	1.00000
Rv0704	rplB	50S ribosomal protein L2 	16	0	0.0	0.0	0.0	1.00000	1.00000
Rv0705	rpsS	30S ribosomal protein S19 	2	0	0.0	0.0	0.0	1.00000	1.00000
Rv0706	rplV	50S ribosomal protein L22 	4	0	0.0	0.0	0.0	1.00000	1.00000
Rv0707	rpsC	30S ribosomal protein S3 	14	0	0.0	0.0	0.0	1.00000	1.00000
